"Taxonomy"	"Gammaproteobacteria"	"Alphaproteobacteria"	"Betaproteobacteria"	"Verrucomicrobiae"	"Bacilli"	"unidentified_Actinobacteria"	"Subgroup_6"	"Clostridia"	"Deltaproteobacteria"	"Sphingobacteriia"	"unidentified_Gemmatimonadetes"	"KD4.96"	"Blastocatellia"	"Cytophagia"	"Thermoleophilia"	"Acidimicrobiia"	"Bacteroidia"	"AKAU4049"	".SCG."	"Planctomycetacia"	"WCHB1.41"	"Holophagae"	"Subgroup_17"	"Anaerolineae"	"Nitrospira"	"Phycisphaerae"	"Chloroflexia"	"unidentified_Thermomicrobia"	"S0134_terrestrial_group"	"Longimicrobia"	"Flavobacteriia"	"Subgroup_25"	"OPB35_soil_group"	"Solibacteres"	"Spartobacteria"	"Erysipelotrichia"	"Opitutae"	"Gitt.GS.136"	"Mollicutes"	"unidentified_Bacteroidetes"	"OM190"	"Coriobacteriia"	"S085"	"Subgroup_9"	"Epsilonproteobacteria"	"Negativicutes"	"Ardenticatenia"	"unidentified_Acidobacteria"	"BD2.11_terrestrial_group"	"MB.A2.108"	"Melainabacteria"	"Subgroup_5"	"Subgroup_22"	"Fimbriimonadia"	"UA11"	"Caldilineae"	"TK10"	"unidentified_Elusimicrobia"	"unidentified_Spirochaetes"	"Nitriliruptoria"	"unidentified_Deferribacteres"	"Synergistia"	"Pla4_lineage"	"unidentified_Chlamydiae"	"JG30.KF.CM66"	"Chthonomonadetes"	"unidentified_Tectomicrobia"	"Fibrobacteria"	"Thermoplasmata"	"Ktedonobacteria"	"Subgroup_18"	"Rubrobacteria"	"Subgroup_2"	"unidentified_Cyanobacteria"	"unidentified_Saccharibacteria"	"JG37.AG.4"	"Subgroup_11"	".SAGMCG.1."	"Ignavibacteria"	"TakashiAC.B11"	"PAUC43f_marine_benthic_group"	"P2.11E"	"SBR2076"	"BD7.11"	"AT.s3.28"	"unidentified_Thermotogae"	"Methanobacteria"	"Bacteroidetes_vadinHA17"	"Subgroup_15"	"vadinHA49"	"Armatimonadia"	"Deinococci"	"Subgroup_21"	"ML635J.21"	"Pla3_lineage"	"Subgroup_12"	"Candidatus_Woesebacteria"	"unidentified_Thaumarchaeota"	"Subgroup_13"	"S.BQ2.57_soil_group"	"SAR202_clade"	"Fusobacteriia"	"Candidatus_Pacebacteria"	"SB.5"	"FFCH16263"	"Candidatus_Azambacteria"	"Chlorobia"	"Candidatus_Daviesbacteria"	"unidentified_Verrucomicrobia"	"NLS2.31"	"Candidatus_Nomurabacteria"	"X028H05.P.BN.P5"	"Subgroup_20"	"unidentified_Omnitrophica"	"Candidatus_Kuenenbacteria"	"Candidatus_Peribacteria"	"Candidatus_Curtissbacteria"	"FHMa11_terrestrial_group"	"SJA.15"	"unidentified_BRC1"	"SPOTSOCT00m83"	"Candidatus_Magasanikbacteria"	"Candidatus_Roizmanbacteria"	"Candidatus_Uhrbacteria"	"Candidatus_Levybacteria"	"Limnochordia"	"Lentisphaeria"	"SPG12.401.411.B72"	"Subgroup_19"	"unidentified_Atribacteria"	"Dehalococcoidia"	"Methanomicrobia"	"Candidatus_Amesbacteria"	"Candidatus_Beckwithbacteria"	"unidentified_.DHVEG.6."	"Kazan.1B.37"	"unidentified_Bathyarchaeota"	".DSEG."	"Subgroup_26"	"SM1A07"	"Chitinivibrionia"	"Candidatus_Campbellbacteria"	"SHA.26"	"Candidatus_Moranbacteria"	"Candidatus_Yanofskybacteria"	"Candidatus_Giovannonibacteria"	"WCHB1.32"	"LD1.PA32"	"unidentified_Acetothermia"	"Caldisericia"	"unidentified_Parcubacteria"	"unidentified_Aquificae"	"MACA.EFT26"	"unidentified_WS2"	"unidentified_FBP"	"LD1.PB3"	"Oligosphaeria"	"unidentified_WWE3"	"Halobacteria"	"unidentified_Proteobacteria"	"Bacteroidetes_BD2.2"	"KIST.JJY010"	"Others"
"LH38_Z1_1"	0.132682556	0.218623225	0.096589757	0.026749493	0.038539554	0.055502028	0.056135903	0.004830122	0.042051217	0.015327079	0.032365619	0.014135396	0.023415314	0.020638945	0.023795639	0.027256592	0.001293103	0.015555274	0.004297667	0.007264199	0	0.013780426	0.005641481	0.002396045	0.011054767	0.002586207	0.001077586	0.001648073	0.00377789	0.003537018	0.00040568	0.003815923	0.003651116	0.00428499	0.002484787	0.000393002	0.001584686	0.001660751	6.34e-05	0.001825558	0.001952333	2.54e-05	0.0019143	0.000735294	0	0.000266227	0.001166329	0.000836714	0.001052231	0.000950811	0.000240872	0.001191684	0.001102941	0.001052231	0.000380325	0.000228195	0.000722617	0.000494422	5.07e-05	0.00025355	1.27e-05	0	0.000418357	0.000798682	0.000532454	0.000291582	0.000393002	0.000190162	2.54e-05	8.87e-05	0.000291582	0.000114097	0.000291582	0.00010142	3.8e-05	3.8e-05	0.000240872	0	0.000164807	0.00010142	0.000228195	7.61e-05	0.00010142	0.000114097	0.000278905	0	1.27e-05	0	0.000228195	0.000114097	0.000139452	1.27e-05	8.87e-05	0.00015213	0.00010142	5.07e-05	2.54e-05	0	0.000126775	0.00010142	0.00010142	0	2.54e-05	0	5.07e-05	1.27e-05	2.54e-05	0	1.27e-05	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	3.8e-05	0	0	1.27e-05	0	0	0	2.54e-05	1.27e-05	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056237323
"LH38_Z1_2"	0.14793357	0.207847363	0.09153144	0.021564402	0.046234787	0.055882353	0.074505578	0.00408215	0.032302231	0.014084686	0.033240365	0.015897566	0.030780933	0.017811866	0.026508621	0.023947769	0.000747972	0.017685091	0.002243915	0.006693712	0	0.011270284	0.006224645	0.00201572	0.009660243	0.003055274	0.001673428	0.001305781	0.002510142	0.0019143	0.000278905	0.004754057	0.002738337	0.003042596	0.002535497	0.000367647	0.000836714	0.001888945	3.8e-05	0.001800203	0.001153651	2.54e-05	0.001648073	0.000988844	2.54e-05	0.00020284	0.001064909	0.000786004	0.000709939	0.000963489	0.000177485	0.000836714	0.000469067	0.000976166	0.000278905	0.00015213	0.000735294	0.00020284	7.61e-05	0.000266227	1.27e-05	2.54e-05	0.00020284	0.000735294	0.000342292	0.00025355	6.34e-05	0.000316937	3.8e-05	0.00015213	0.000139452	0.000190162	0.000164807	0.00010142	8.87e-05	0	1.27e-05	0	6.34e-05	0.000114097	0.000114097	0.000126775	0.000139452	7.61e-05	0.00025355	0	0	0	0.000177485	0.000164807	5.07e-05	5.07e-05	8.87e-05	5.07e-05	2.54e-05	7.61e-05	3.8e-05	0	6.34e-05	3.8e-05	5.07e-05	0	2.54e-05	0	0	5.07e-05	0	0	0	0	0	0	2.54e-05	1.27e-05	0	1.27e-05	1.27e-05	0	0	0	0	0	0	0	2.54e-05	0	0	0	3.8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054018763
"LH38_Z1_3"	0.115656694	0.247958925	0.090796146	0.021894016	0.030654158	0.065339757	0.059127789	0.000760649	0.043585193	0.01219574	0.03155426	0.019383874	0.017659736	0.020955882	0.029246957	0.030413286	0.00015213	0.01875	0.003321501	0.010408215	0	0.009102434	0.005578093	0.00206643	0.009368661	0.004677992	0.001229716	0.001800203	0.00181288	0.001876268	0.000291582	0.003435598	0.003118661	0.003042596	0.003004564	0.00010142	0.000938134	0.001825558	0	0.00226927	0.001648073	0	0.002079108	0.001026876	0	5.07e-05	0.000608519	0.000684584	0.000469067	0.000900101	0.000380325	0.000646552	0.00025355	0.000811359	0.000684584	0.00030426	0.000963489	0.000608519	1.27e-05	0.000418357	0	2.54e-05	0.000329615	0.000608519	0.000621197	0.000190162	8.87e-05	0.000380325	0.000164807	6.34e-05	7.61e-05	0.000177485	0.00010142	0.000190162	2.54e-05	0	2.54e-05	0	5.07e-05	0.00015213	0.000240872	0.00015213	3.8e-05	0.000126775	0.000177485	0	0	0	0.000126775	0.000164807	0.000126775	0.000126775	0.000114097	0.000114097	0.00010142	3.8e-05	7.61e-05	2.54e-05	2.54e-05	0	6.34e-05	0	0	0	1.27e-05	2.54e-05	0	0	0	1.27e-05	0	0	0	1.27e-05	1.27e-05	1.27e-05	0	0	0	0	0	2.54e-05	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056858519
"LH39_Z1_1"	0.234191176	0.213108519	0.072274341	0.017431542	0.027205882	0.035547667	0.053727181	0.00650355	0.038869168	0.018293611	0.042469574	0.007213489	0.017951318	0.015327079	0.026660751	0.023833671	0.001977688	0.010889959	0.000519777	0.003803245	1.27e-05	0.012931034	0.004411765	0.002104462	0.011308316	0.001597363	0.001597363	0.000988844	0.003904665	0.002205882	0.000291582	0.004221602	0.001686105	0.004107505	0.002028398	0.000697262	0.000646552	0.001179006	0.000164807	0.001470588	0.001039554	0.000139452	0.002104462	0.001179006	2.54e-05	0.00015213	0.001305781	0.000760649	0.001242394	0.000608519	8.87e-05	0.000887424	0.000633874	0.001140974	0.000228195	0.00025355	0.001064909	0.000215517	6.34e-05	0.00030426	0.000114097	1.27e-05	0.00010142	0.000393002	0.000291582	0.000367647	5.07e-05	0.000177485	0	0.000139452	0.000278905	0.00010142	0.000139452	0.000139452	2.54e-05	1.27e-05	2.54e-05	0	0.00015213	0.000139452	0.00020284	2.54e-05	0.000164807	2.54e-05	0.000190162	0	1.27e-05	0.000139452	0.000215517	5.07e-05	0.00020284	0.000139452	5.07e-05	7.61e-05	6.34e-05	8.87e-05	0	0	7.61e-05	3.8e-05	6.34e-05	3.8e-05	1.27e-05	0	3.8e-05	1.27e-05	1.27e-05	0	0	0	0	0	5.07e-05	0	0	0	0	1.27e-05	0	3.8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0.056490872
"LH39_Z1_2"	0.132416329	0.181972617	0.074163286	0.019536004	0.023389959	0.039376268	0.090656694	0.008937627	0.034064402	0.030933063	0.038146552	0.011346349	0.028473631	0.017444219	0.026559331	0.020879817	0.003600406	0.01421146	0.003131339	0.009444726	0.015289047	0.014388945	0.008760142	0.007860041	0.011967546	0.007086714	0.003790568	0.001179006	0.004348377	0.002345335	0.000583164	0.006490872	0.003017241	0.004056795	0.002611562	0.000684584	0.000887424	0.000798682	0.000443712	0.002205882	0.00206643	0.000215517	0.001242394	0.001622718	0.000164807	0.001622718	0.001660751	0.000659229	0.000659229	0.000836714	0.000532454	0.000925456	0.001128296	0.001267748	0.000278905	0.00035497	0.000773327	0.000633874	3.8e-05	0.000278905	1.27e-05	0	0.000114097	0.000291582	0.00030426	0.000583164	0.000126775	0.00025355	5.07e-05	0.000177485	0.00015213	0.000139452	8.87e-05	0.000393002	0.00025355	0	1.27e-05	2.54e-05	0.00020284	0.000164807	0.000215517	3.8e-05	0.000228195	7.61e-05	0.000329615	0	0.000291582	1.27e-05	0.00020284	6.34e-05	0.000240872	7.61e-05	6.34e-05	8.87e-05	0.00010142	8.87e-05	0.000177485	1.27e-05	0.000139452	3.8e-05	0	5.07e-05	0	0	1.27e-05	8.87e-05	1.27e-05	6.34e-05	5.07e-05	0	6.34e-05	0	6.34e-05	5.07e-05	1.27e-05	6.34e-05	5.07e-05	0	0	2.54e-05	0	1.27e-05	2.54e-05	1.27e-05	0	0	3.8e-05	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0.068990872
"LH39_Z1_3"	0.113843813	0.23518002	0.108962982	0.014072008	0.027700304	0.076787525	0.056719067	0.001926978	0.044066937	0.01028144	0.027586207	0.021729209	0.015656694	0.01648073	0.030248479	0.03125	0.000329615	0.020131846	0.007543103	0.01421146	0	0.007682556	0.006566937	0.001597363	0.009787018	0.004918864	0.001318458	0.0019143	0.001394523	0.001153651	0.000215517	0.003067951	0.003144016	0.002877789	0.002662272	2.54e-05	0.000633874	0.0019143	2.54e-05	0.001736815	0.001660751	1.27e-05	0.00201572	0.000608519	0	6.34e-05	0.000519777	0.000557809	0.000367647	0.001153651	0.000228195	0.000570487	0.000278905	0.000507099	0.000608519	0.00025355	0.000722617	0.00030426	0	0.000849391	0	0	0.000367647	0.000342292	0.000545132	0.000139452	0.00010142	0.000266227	0.00010142	0.000126775	0.000215517	0.000278905	2.54e-05	0.00025355	7.61e-05	0	1.27e-05	0	1.27e-05	0.00020284	0.000164807	0.000139452	5.07e-05	0.000114097	0.000190162	0	0	0	7.61e-05	0.000164807	2.54e-05	0.000139452	6.34e-05	0.000126775	2.54e-05	3.8e-05	0.000114097	0	0	3.8e-05	8.87e-05	0	2.54e-05	0	1.27e-05	6.34e-05	0	0	3.8e-05	2.54e-05	0	0	0	0	0	1.27e-05	1.27e-05	0	0	0	0	0	1.27e-05	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056528905
"78371A_Z1_1"	0.166759635	0.183975659	0.085116633	0.034267241	0.034051724	0.031414807	0.088843813	0.00211714	0.034850406	0.022844828	0.045283976	0.0100786	0.026622718	0.019041582	0.025874746	0.019510649	0.000532454	0.012639452	0.002142495	0.005679513	1.27e-05	0.01224645	0.00630071	0.005121704	0.009951826	0.0038286	0.002281947	0.000862069	0.00418357	0.002712982	0.000494422	0.005020284	0.002751014	0.004665314	0.002396045	0.000367647	0.000963489	0.001204361	3.8e-05	0.001508621	0.001597363	1.27e-05	0.001648073	0.001242394	0	6.34e-05	0.001369168	0.000671907	0.001318458	0.000519777	0.00015213	0.000976166	0.001102941	0.001255071	0.000240872	0.000164807	0.001014199	0.000393002	6.34e-05	0.00015213	7.61e-05	1.27e-05	0.00015213	0.000393002	0.000342292	0.000469067	3.8e-05	0.000126775	0	6.34e-05	0.00025355	6.34e-05	0.00015213	0.000114097	7.61e-05	0	3.8e-05	0	0.00015213	0.000114097	0.000114097	5.07e-05	0.00020284	8.87e-05	0.000228195	0	0	0	0.000177485	0.00010142	0.00015213	2.54e-05	8.87e-05	0.000126775	0.000139452	0.000139452	0	0	5.07e-05	8.87e-05	3.8e-05	0	2.54e-05	0	1.27e-05	3.8e-05	2.54e-05	0	1.27e-05	0	1.27e-05	2.54e-05	5.07e-05	1.27e-05	1.27e-05	5.07e-05	0	0	1.27e-05	1.27e-05	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062715517
"78371A_Z1_2"	0.129094828	0.226229716	0.089490365	0.030235801	0.013894523	0.030971095	0.122299696	0.000519777	0.024391481	0.016493408	0.037360548	0.018369675	0.040124239	0.01471856	0.015935598	0.020499493	0.000126775	0.019954361	0.001660751	0.008379817	0.000266227	0.010344828	0.007745943	0.003156694	0.00801217	0.009685598	0.002155172	0.001305781	0.00186359	0.001343813	0.00035497	0.005616126	0.002129817	0.002979209	0.003067951	1.27e-05	0.000418357	0.001926978	0	0.002028398	0.001153651	6.34e-05	0.001090264	0.001533976	0	5.07e-05	0.001052231	0.000545132	0.000278905	0.000697262	0.000164807	0.000621197	0.000608519	0.000697262	0.000291582	0.000126775	0.000900101	0.000291582	0	0.00020284	0	0	0.00015213	0.000431034	0.000316937	0.000190162	2.54e-05	6.34e-05	0	0.000126775	0.00020284	0.000139452	0.000114097	0.000139452	0.000126775	0	0	0	7.61e-05	0.00010142	0.00015213	7.61e-05	0.00025355	3.8e-05	0.000228195	0	0	0	0.00010142	6.34e-05	7.61e-05	7.61e-05	8.87e-05	5.07e-05	7.61e-05	6.34e-05	2.54e-05	0	2.54e-05	2.54e-05	0	0	0	0	2.54e-05	0	0	3.8e-05	2.54e-05	0	0	0	0	0	2.54e-05	1.27e-05	1.27e-05	0	0	2.54e-05	0	0	0	0	0	0	0	0	2.54e-05	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	2.54e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060611055
"78371A_Z1_3"	0.132213489	0.224784483	0.063032454	0.042849899	0.027003043	0.043192191	0.078410243	0.00398073	0.03573783	0.021665822	0.035547667	0.015225659	0.019878296	0.022122211	0.022502535	0.026850913	0.000545132	0.018990872	0.009444726	0.01063641	0.003080629	0.012461968	0.00655426	0.003308824	0.008608012	0.009102434	0.001939655	0.001648073	0.00237069	0.001559331	0.000190162	0.004855477	0.001749493	0.003207404	0.002712982	0.000266227	0.000773327	0.001648073	5.07e-05	0.00201572	0.001343813	5.07e-05	0.00196501	0.001432556	0	0.000481744	0.001698783	0.000786004	0.000583164	0.001140974	0.000240872	0.000735294	0.000608519	0.000912779	0.000469067	0.000266227	0.000849391	0.000278905	0	0.000583164	0	0	0.000164807	0.000418357	0.000595842	0.00030426	0.000164807	6.34e-05	0	0.000126775	0.000177485	0.000139452	0.000190162	0.000316937	6.34e-05	0	2.54e-05	0	7.61e-05	0.000190162	0.000393002	0.000139452	6.34e-05	3.8e-05	0.000228195	0	0	0	0.00010142	6.34e-05	7.61e-05	8.87e-05	0.000139452	0.000114097	5.07e-05	7.61e-05	3.8e-05	0	6.34e-05	3.8e-05	2.54e-05	0	5.07e-05	0	2.54e-05	0	5.07e-05	0	1.27e-05	1.27e-05	0	0	3.8e-05	0	1.27e-05	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057885396
"787_Z1_1"	0.275532454	0.104462475	0.188133874	0.016620183	0.032872718	0.029006085	0.03523073	0.043293611	0.038577586	0.015225659	0.026660751	0.005971095	0.007796653	0.017342799	0.012005578	0.010002535	0.029627282	0.004424442	0.005261156	0.003790568	0	0.006034483	0.00231998	0.00206643	0.007036004	0.00231998	0.001736815	0.000735294	0.00221856	0.001774848	0.000342292	0.001926978	0.00377789	0.003435598	0.001838235	0.001939655	0.00186359	0.000481744	0.002852434	0.000684584	0.001495943	0.001318458	0.000938134	0.000431034	0.00201572	0	0.001026876	0.000671907	0.000735294	0.00035497	0.001052231	0.000773327	0.000786004	0.000507099	0.000139452	0.00015213	0.000786004	0.000367647	0.00025355	0.000177485	6.34e-05	0.000557809	0.000583164	8.87e-05	0.00025355	0.000139452	0.000278905	0.000329615	0.000139452	0.00010142	0.00010142	2.54e-05	0.000240872	7.61e-05	0.000114097	0.00015213	7.61e-05	3.8e-05	0.000139452	6.34e-05	8.87e-05	3.8e-05	0.00010142	0.00020284	6.34e-05	0.000126775	1.27e-05	0.00020284	0.000177485	0.00010142	2.54e-05	1.27e-05	6.34e-05	2.54e-05	3.8e-05	5.07e-05	1.27e-05	3.8e-05	6.34e-05	1.27e-05	2.54e-05	0	0	0	1.27e-05	3.8e-05	2.54e-05	0	1.27e-05	0	0	0	1.27e-05	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	3.8e-05	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033582657
