"Taxonomy"	"Pseudomonadales"	"Enterobacteriales"	"Xanthomonadales"	"Burkholderiales"	"Verrucomicrobiales"	"Sphingomonadales"	"Bacillales"	"Rhizobiales"	"Micrococcales"	"Rhodospirillales"	"Clostridiales"	"unidentified_Subgroup_6"	"Sphingobacteriales"	"Gemmatimonadales"	"unidentified_Blastocatellia"	"Cytophagales"	"Myxococcales"	"Acidimicrobiales"	"Rhodobacterales"	"Bacteroidales"	"SC.I.84"	"Chromatiales"	"Gaiellales"	"Planctomycetales"	"Lactobacillales"	"Micromonosporales"	"Solirubrobacterales"	"Propionibacteriales"	"Desulfurellales"	"Nitrosomonadales"	"Anaerolineales"	"Streptomycetales"	"Nitrospirales"	"Subgroup_7"	"Tepidisphaerales"	"Legionellales"	"Bifidobacteriales"	"Frankiales"	"Caulobacterales"	"Longimicrobiales"	"Flavobacteriales"	"Chloroflexales"	"Solibacterales"	"Subgroup_10"	"Chthoniobacterales"	"Erysipelotrichales"	"Desulfovibrionales"	"Opitutales"	"TRA3.20"	"JG30.KF.CM45"	"Pseudonocardiales"	"unidentified_.SCG."	"Cellvibrionales"	"Corynebacteriales"	"Coriobacteriales"	"Bdellovibrionales"	"AKYG1722"	"Campylobacterales"	"Streptosporangiales"	"Mollicutes_RF9"	"Selenomonadales"	"unidentified_OPB35_soil_group"	"Phycisphaerales"	"Rhodocyclales"	"Acidobacteriales"	"Kineosporiales"	"Pasteurellales"	"Anaeroplasmatales"	"Fimbriimonadales"	"Oligoflexales"	"unidentified_Ardenticatenia"	"Methylophilales"	"Caldilineales"	"Vibrionales"	"Gastranaerophilales"	"Herpetosiphonales"	"Alteromonadales"	"Spirochaetales"	"Euzebyales"	"Kallotenuales"	"Deferribacterales"	"Synergistales"	"unidentified_OM190"	"Chlamydiales"	"Chthonomonadales"	"unidentified_Tectomicrobia"	"NB1.j"	"Fibrobacterales"	"unidentified_TK10"	"Ardenticatenales"	"Thermoplasmatales"	"X34P16"	"C0119"	"HTA4"	"Order_II"	"Rubrobacterales"	"Rickettsiales"	"Aeromonadales"	"unidentified_Deferribacteres"	"unidentified_Saccharibacteria"	"Lineage_IIb"	"Glycomycetales"	"KI89A_clade"	"Ignavibacteriales"	"Orbales"	"CCM11a"	"SubsectionIV"	"unidentified_Gammaproteobacteria"	"Neisseriales"	"Lineage_IIa"	"Mycoplasmatales"	"Obscuribacterales"	"Petrotogales"	"unidentified_.SAGMCG.1."	"JG30.KF.AS9"	"Methanobacteriales"	"Desulfuromonadales"	"Syntrophobacterales"	"Bradymonadales"	"SubsectionIII"	"Armatimonadales"	"Methylococcales"	"Oceanospirillales"	"Deinococcales"	"B1.7BS"	"Acidiferrobacterales"	"SAR324_clade.Marine_group_B."	"mle1.8"	"unidentified_vadinHA49"	"Actinomycetales"	"Halanaerobiales"	"Lineage_IV"	"E6aD10"	"unidentified_Thaumarchaeota"	"Vampirovibrionales"	"Pla1_lineage"	"Ktedonobacterales"	"Fusobacteriales"	"Sphaerobacterales"	"MVP.88"	"Desulfobacterales"	"Parvularculales"	"FCPU453"	"TX1A.33"	"S.70"	"Catenulisporales"	"unidentified_Verrucomicrobia"	"Chlorobiales"	"unidentified_Omnitrophica"	"CPla.3_termite_group"	"Hydrogenophilales"	"Lineage_IIc"	"Haloplasmatales"	"unidentified_BRC1"	"Desulfarculales"	"Holophagales"	"PeM15"	"Thermoanaerobacterales"	"Order_III"	"unidentified_ML635J.21"	"Thiotrichales"	"EC3"	"unidentified_S085"	"Nitriliruptorales"	"Procabacteriales"	"BD72BR169"	"Acidithiobacillales"	"Methanomicrobiales"	"X35"	"unidentified_Bacteroidia"	"Victivallales"	"unidentified_Alphaproteobacteria"	"SubsectionI"	"NB1.n"	"X43F.1404R"	"unidentified_Atribacteria"	"unidentified_Holophagae"	"Limnochordales"	"Sneathiellales"	"SZB30"	"SubsectionII"	"HOC36"	"B12.WMSP1"	"Sva0485"	"M55.D21"	"Subgroup_23"	"Kosmotogales"	"Thermogemmatisporales"	"X1013.28.CG33"	"unidentified_Bathyarchaeota"	"C86"	"F9P41300.M23"	"unidentified_.DHVEG.6."	"Thermophilales"	"FS117.23B.02"	"ss1.B.07.44"	"unidentified_Deltaproteobacteria"	"DTB120"	"Sva0071"	"unidentified_KD4.96"	"Cardiobacteriales"	"Thermales"	"SHBZ1548"	"MBA03"	"E01.9C.26_marine_group"	"unidentified_Acetothermia"	"GIF9"	"Arenicellales"	"FW113"	"MSBL5"	"D8A.2"	"unidentified_WS2"	"unidentified_WCHB1.41"	"Run.SP154"	"unidentified_WWE3"	"unidentified_Betaproteobacteria"	"Salinisphaerales"	"SAR11_clade"	"unidentified_Candidatus_Roizmanbacteria"	"Caldisericales"	"unidentified_Proteobacteria"	"Halobacteriales"	"Entomoplasmatales"	"Acanthopleuribacterales"	"Elusimicrobiales"	"unidentified_Candidatus_Azambacteria"	"vadinBA26"	"Aquificales"	"B10.SB3A"	"unidentified_FBP"	"unidentified_Parcubacteria"	"Puniceicoccales"	"KD3.62"	"Others"
"LH38_Z1_1"	0.021209432	0.006338742	0.072616633	0.059203854	0.026749493	0.088881846	0.038083164	0.069117647	0.030324544	0.044282454	0.004754057	0.028942698	0.015327079	0.032365619	0.023415314	0.020638945	0.022071501	0.027256592	0.003093306	0.001293103	0.009977181	0	0.016011663	0.007264199	0.000456389	0.003562373	0.007188134	0.009343306	0.011980223	0.010344828	0.002396045	0.005185091	0.011054767	0.006009128	0.001419878	0.004462475	0.00010142	0.002687627	0.004982252	0.003537018	0.00040568	0.000659229	0.00428499	0.006706389	0.002484787	0.000393002	3.8e-05	0.001584686	0.003714503	0.001267748	0.002028398	0.000608519	0.003904665	0.000824037	2.54e-05	0.001331136	0.000190162	0	0.000621197	5.07e-05	0.000266227	0.001166329	0.000773327	0.000557809	0.000836714	0.000228195	5.07e-05	0	0.001052231	0.000912779	0.000291582	0.000469067	0.000228195	0	0	0.000228195	0	5.07e-05	0.00025355	0.000190162	0	0	0.000190162	0.000798682	0.000291582	0.000393002	0.000570487	0.000190162	0.000393002	0.000190162	2.54e-05	3.8e-05	7.61e-05	0.000633874	0.000316937	0.000114097	0.000507099	0.000126775	1.27e-05	3.8e-05	0.00015213	6.34e-05	0.00035497	0.000164807	6.34e-05	0.000228195	3.8e-05	0.00010142	3.8e-05	0.000215517	0	0.000139452	0	0	0	1.27e-05	0.000278905	0.000139452	0	5.07e-05	0.000139452	0	1.27e-05	1.27e-05	1.27e-05	6.34e-05	2.54e-05	8.87e-05	1.27e-05	2.54e-05	2.54e-05	5.07e-05	1.27e-05	0	0.00010142	2.54e-05	1.27e-05	0	1.27e-05	3.8e-05	0	5.07e-05	0	0	0	0	1.27e-05	2.54e-05	0	0	0	2.54e-05	1.27e-05	0	1.27e-05	0	3.8e-05	0	0	0	0	0	1.27e-05	0	0	0	1.27e-05	2.54e-05	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199530933
"LH38_Z1_2"	0.041924442	0.009089757	0.06880071	0.055831643	0.021564402	0.090770791	0.045537525	0.06476927	0.027548174	0.040682049	0.003993408	0.038729716	0.014084686	0.033240365	0.030780933	0.017811866	0.01456643	0.023947769	0.001749493	0.000747972	0.010991379	0	0.01875	0.006693712	0.000697262	0.002383367	0.006947262	0.009850406	0.01209432	0.008126268	0.00201572	0.009850406	0.009660243	0.004475152	0.002231237	0.002358012	0.000114097	0.002180527	0.004411765	0.0019143	0.000278905	0.000963489	0.003042596	0.005933063	0.002535497	0.000367647	7.61e-05	0.000836714	0.00398073	0.000988844	0.002041075	0.000583164	0.000735294	0.000684584	2.54e-05	0.000798682	0.000164807	2.54e-05	0.000380325	3.8e-05	0.00020284	0.001153651	0.000469067	0.000367647	0.000786004	0.000228195	0.000164807	0	0.000976166	0.000570487	0.000291582	0.000240872	0.00015213	0	0	0.000443712	0	7.61e-05	0.000266227	0.000266227	0	2.54e-05	0.000190162	0.000735294	0.00025355	6.34e-05	0.00035497	0.000316937	0.000393002	8.87e-05	3.8e-05	3.8e-05	8.87e-05	0.000240872	0.000215517	0.000190162	0.00025355	1.27e-05	1.27e-05	8.87e-05	5.07e-05	3.8e-05	0.000126775	6.34e-05	0	0.00015213	2.54e-05	8.87e-05	3.8e-05	8.87e-05	0	0.000139452	0	0	0	0	1.27e-05	6.34e-05	0	6.34e-05	5.07e-05	1.27e-05	1.27e-05	5.07e-05	1.27e-05	2.54e-05	3.8e-05	5.07e-05	5.07e-05	0	7.61e-05	3.8e-05	5.07e-05	0	3.8e-05	7.61e-05	3.8e-05	0	1.27e-05	1.27e-05	0	2.54e-05	0	0	0	1.27e-05	0	0	1.27e-05	0	0	0	0	0	1.27e-05	0	1.27e-05	0	0	1.27e-05	0	0	0	0	1.27e-05	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201622718
"LH38_Z1_3"	0.013932556	0.004525862	0.069612069	0.051001521	0.021894016	0.095702333	0.030540061	0.064097363	0.035547667	0.072603955	0.000722617	0.032885396	0.01219574	0.03155426	0.017659736	0.020955882	0.019269777	0.030413286	0.002281947	0.00015213	0.013057809	1.27e-05	0.018154158	0.010408215	0.000114097	0.005299189	0.01073783	0.008798174	0.016265213	0.007834686	0.00206643	0.005907708	0.009368661	0.003270791	0.003460953	0.00650355	0	0.003765213	0.005248479	0.001876268	0.000291582	0.000887424	0.003042596	0.004982252	0.003004564	0.00010142	0	0.000938134	0.004006085	0.001457911	0.002928499	0.000671907	0.000735294	0.000976166	0	0.000950811	0.000139452	0	0.000507099	0	5.07e-05	0.001204361	0.000811359	0.000228195	0.000684584	0.000431034	2.54e-05	0	0.000811359	0.000646552	0.00015213	0.000164807	0.00030426	0	0	0.000228195	0	1.27e-05	0.00040568	0.000114097	0	2.54e-05	0.000659229	0.000608519	0.000190162	8.87e-05	0.000456389	0.000380325	0.000380325	0.000126775	0.000164807	0	3.8e-05	0.00025355	0.000291582	0.000177485	0.000418357	2.54e-05	0	2.54e-05	0.000240872	8.87e-05	0.000215517	5.07e-05	0	0.000190162	2.54e-05	6.34e-05	1.27e-05	0.000215517	0	0.000316937	0	0	2.54e-05	0	1.27e-05	0.000177485	0	0.00015213	0.000126775	0	5.07e-05	0.000126775	1.27e-05	6.34e-05	5.07e-05	1.27e-05	5.07e-05	0	3.8e-05	8.87e-05	1.27e-05	2.54e-05	6.34e-05	0.00010142	0	0	6.34e-05	0	0	1.27e-05	2.54e-05	0	0	0	0	0	1.27e-05	2.54e-05	0	2.54e-05	0	0	1.27e-05	0	0	0	0	0	0	0	1.27e-05	1.27e-05	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201267748
"LH39_Z1_1"	0.112880325	0.013045132	0.071386917	0.041861055	0.017431542	0.092330122	0.025114097	0.0625	0.015048174	0.045537525	0.006414807	0.025595842	0.018293611	0.042469574	0.017951318	0.015327079	0.015859533	0.023833671	0.002560852	0.001977688	0.007390974	2.54e-05	0.017266734	0.003803245	0.002091785	0.003156694	0.00862069	0.007036004	0.016303245	0.008176978	0.002104462	0.003562373	0.011308316	0.005311866	0.000900101	0.004120183	0.000139452	0.001736815	0.005349899	0.002205882	0.000291582	0.001153651	0.004107505	0.00640213	0.002028398	0.000697262	0.00010142	0.000646552	0.00393002	0.000786004	0.001850913	0.00020284	0.000862069	0.001622718	0.000139452	0.000735294	8.87e-05	2.54e-05	0.000316937	0.00015213	0.00015213	0.000697262	0.000443712	0.000329615	0.000760649	0.000126775	0.000164807	1.27e-05	0.001140974	0.000456389	0.000456389	0.000177485	0.00025355	0	0	0.000266227	6.34e-05	6.34e-05	0.000291582	0.000177485	2.54e-05	1.27e-05	8.87e-05	0.000393002	0.000367647	5.07e-05	0.00040568	0.000177485	0.000570487	0.00010142	0	3.8e-05	0.000114097	0.00020284	0.00035497	0.00010142	0.00015213	5.07e-05	8.87e-05	2.54e-05	2.54e-05	8.87e-05	0.00040568	0.00015213	1.27e-05	0.000126775	5.07e-05	7.61e-05	5.07e-05	0.000126775	0	6.34e-05	0	0	0	1.27e-05	0.00010142	0.00020284	3.8e-05	7.61e-05	0.00020284	2.54e-05	0.000126775	0.000139452	5.07e-05	3.8e-05	8.87e-05	3.8e-05	0	3.8e-05	2.54e-05	0	0	0	2.54e-05	5.07e-05	2.54e-05	3.8e-05	0	5.07e-05	2.54e-05	3.8e-05	1.27e-05	0	0	0	0	1.27e-05	0	0	0	0	0	3.8e-05	1.27e-05	1.27e-05	1.27e-05	5.07e-05	0	0	0	0	0	1.27e-05	0	1.27e-05	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18362069
"LH39_Z1_2"	0.01214503	0.003410243	0.082365619	0.037335193	0.019536004	0.091823022	0.021817951	0.04188641	0.017621704	0.036004057	0.008912272	0.048567444	0.030933063	0.038146552	0.028473631	0.017444219	0.016075051	0.020879817	0.002180527	0.003575051	0.006681034	0	0.016113083	0.009444726	0.001572008	0.00408215	0.009584178	0.007429006	0.01234787	0.012487323	0.007860041	0.002624239	0.011967546	0.006376775	0.005235801	0.003334178	0.001140974	0.002332657	0.006085193	0.002345335	0.000583164	0.00226927	0.004056795	0.007023327	0.002611562	0.000684584	5.07e-05	0.000887424	0.004056795	0.000887424	0.00181288	0.000874746	0.001039554	0.001052231	0.000215517	0.000824037	0.000190162	0.000164807	0.00020284	7.61e-05	0.001622718	0.001102941	0.001090264	0.000824037	0.000659229	0.00025355	5.07e-05	0	0.001267748	0.00030426	0.000240872	0.000240872	0.00035497	0	0.000190162	0.001318458	0	3.8e-05	0.000278905	0.00020284	1.27e-05	0	0.00015213	0.000291582	0.000583164	0.000126775	0.00035497	0.00025355	0.00030426	0.000240872	5.07e-05	1.27e-05	7.61e-05	0.00030426	0.000570487	0.000139452	0.000418357	0.000114097	0	0.00025355	0.000190162	2.54e-05	0.000443712	0.00020284	0.000266227	0.000380325	1.27e-05	0.000139452	0.000114097	0.000291582	0.000342292	0.000215517	0	2.54e-05	8.87e-05	0.000291582	1.27e-05	0.00010142	1.27e-05	0.000240872	0.000240872	0	6.34e-05	7.61e-05	3.8e-05	8.87e-05	1.27e-05	0.00010142	1.27e-05	7.61e-05	1.27e-05	1.27e-05	2.54e-05	1.27e-05	0.000126775	7.61e-05	1.27e-05	5.07e-05	0	5.07e-05	2.54e-05	5.07e-05	1.27e-05	0	5.07e-05	0	5.07e-05	1.27e-05	5.07e-05	0	1.27e-05	1.27e-05	1.27e-05	2.54e-05	2.54e-05	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	2.54e-05	3.8e-05	0	1.27e-05	1.27e-05	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0.242976673
"LH39_Z1_3"	0.013628296	0.009508114	0.065365112	0.065073529	0.014072008	0.08351927	0.027434077	0.064439655	0.02948783	0.072895538	0.00186359	0.032226166	0.01028144	0.027586207	0.015656694	0.01648073	0.022363083	0.03125	0.002434077	0.000329615	0.016544118	1.27e-05	0.017634381	0.01421146	0.000266227	0.008785497	0.012271805	0.010471602	0.014807302	0.006769777	0.001597363	0.012969067	0.009787018	0.00237069	0.003765213	0.004411765	0	0.005730223	0.004069473	0.001153651	0.000215517	0.000874746	0.002877789	0.004665314	0.002662272	2.54e-05	3.8e-05	0.000633874	0.004170892	0.001419878	0.003904665	0.001445233	0.000659229	0.001407201	1.27e-05	0.001090264	0.000177485	0	0.001267748	1.27e-05	6.34e-05	0.001432556	0.000912779	0.000126775	0.000557809	0.000735294	1.27e-05	0	0.000507099	0.000950811	7.61e-05	8.87e-05	0.00025355	0	0	0.000190162	0	0	0.000836714	0.00025355	0	0	0.000811359	0.000342292	0.000139452	0.00010142	0.000431034	0.000266227	0.000418357	0.00015213	0.00010142	0	0.000126775	0.00020284	0.00020284	0.000278905	0.000329615	1.27e-05	0	7.61e-05	0.000139452	8.87e-05	0.000164807	1.27e-05	0	6.34e-05	0.00010142	2.54e-05	1.27e-05	0.00010142	0	0.000177485	0	0	0	0	0	0.000215517	0	0.000114097	2.54e-05	0	2.54e-05	0.000139452	0	2.54e-05	5.07e-05	6.34e-05	1.27e-05	0	3.8e-05	2.54e-05	2.54e-05	0	5.07e-05	3.8e-05	0	0	0	1.27e-05	1.27e-05	0	1.27e-05	5.07e-05	0	0	3.8e-05	0	0	0	0	1.27e-05	1.27e-05	0	1.27e-05	0	0	0	0	0	0	0	2.54e-05	1.27e-05	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205971095
"78371A_Z1_1"	0.053803245	0.005679513	0.072033469	0.050988844	0.034267241	0.093293611	0.03356998	0.043686613	0.0144143	0.03512931	0.00211714	0.043914807	0.022844828	0.045283976	0.026622718	0.019041582	0.015453854	0.019510649	0.001774848	0.000532454	0.00630071	0	0.016075051	0.005679513	0.000481744	0.00211714	0.008848884	0.006934584	0.012969067	0.012157708	0.005121704	0.002434077	0.009951826	0.004373732	0.002598884	0.003435598	2.54e-05	0.001787525	0.005400609	0.002712982	0.000494422	0.001483266	0.004665314	0.006782454	0.002396045	0.000367647	1.27e-05	0.000963489	0.003955375	0.000659229	0.00201572	0.001039554	0.000836714	0.000709939	1.27e-05	0.000786004	0.000139452	0	0.000266227	2.54e-05	6.34e-05	0.001128296	0.000773327	0.000595842	0.000671907	0.000114097	1.27e-05	0	0.001255071	0.000443712	0.000418357	0.00025355	0.000164807	0	0	0.000570487	1.27e-05	6.34e-05	0.00015213	0.000228195	0	1.27e-05	0.000114097	0.000393002	0.000469067	3.8e-05	0.000469067	0.000126775	0.000519777	7.61e-05	0	7.61e-05	6.34e-05	0.00015213	0.000278905	6.34e-05	0.000278905	2.54e-05	7.61e-05	7.61e-05	0.00015213	7.61e-05	0.000291582	0.00015213	0	0.000240872	2.54e-05	0.000114097	2.54e-05	0.000215517	0	0.000114097	0	0	0	0	2.54e-05	0.00010142	1.27e-05	5.07e-05	0.00015213	2.54e-05	2.54e-05	1.27e-05	2.54e-05	3.8e-05	5.07e-05	7.61e-05	2.54e-05	0	0	0	1.27e-05	0	2.54e-05	2.54e-05	0	0	0	2.54e-05	0	5.07e-05	0	0	2.54e-05	0	1.27e-05	2.54e-05	1.27e-05	2.54e-05	0	0	1.27e-05	1.27e-05	1.27e-05	0	0	0	0	0	0	0	1.27e-05	0	0	2.54e-05	0	0	1.27e-05	0	0	0	3.8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21637931
"78371A_Z1_2"	0.031579615	0.003765213	0.072515213	0.048263185	0.030235801	0.138780426	0.013818458	0.04354716	0.015998986	0.032467039	0.000519777	0.057809331	0.016493408	0.037360548	0.040124239	0.01471856	0.00862069	0.020499493	0.001533976	0.000126775	0.014249493	0	0.009013692	0.008379817	7.61e-05	0.002865112	0.006592292	0.005603448	0.01012931	0.007340264	0.003156694	0.001483266	0.00801217	0.003739858	0.008684077	0.001166329	2.54e-05	0.001673428	0.005299189	0.001343813	0.00035497	0.001648073	0.002979209	0.005362576	0.003067951	1.27e-05	3.8e-05	0.000418357	0.005070994	0.001014199	0.001673428	0.000735294	0.000456389	0.000557809	6.34e-05	0.000443712	0.000190162	0	0.000291582	0	5.07e-05	0.001115619	0.000659229	0.000633874	0.000545132	0.00015213	0	0	0.000697262	0.000380325	0.000443712	0.000139452	0.000126775	0	0	0.000329615	0	0	0.00020284	0.000177485	0	0	0.000228195	0.000431034	0.000190162	2.54e-05	0.000481744	6.34e-05	0.000456389	0.000114097	0	0	0.000126775	0.00015213	0.000316937	0.000139452	0.000215517	1.27e-05	0	0.000126775	0.000126775	5.07e-05	0.000126775	7.61e-05	0	0.00015213	5.07e-05	1.27e-05	0	0.000164807	0	0.000126775	0	0	0	0	1.27e-05	7.61e-05	0	6.34e-05	7.61e-05	0	1.27e-05	7.61e-05	1.27e-05	1.27e-05	2.54e-05	8.87e-05	2.54e-05	0	0	0	0	0	3.8e-05	3.8e-05	0	0	2.54e-05	0	3.8e-05	3.8e-05	0	0	0	0	2.54e-05	0	0	2.54e-05	0	0	0	2.54e-05	1.27e-05	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	3.8e-05	2.54e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237563387
"78371A_Z1_3"	0.050760649	0.003283469	0.056959939	0.036992901	0.042849899	0.104348377	0.026280426	0.050240872	0.017025862	0.056173935	0.003942698	0.041151116	0.021665822	0.035547667	0.019878296	0.022122211	0.015656694	0.026850913	0.00247211	0.000545132	0.006896552	0	0.012436613	0.01063641	0.000722617	0.005261156	0.009736308	0.007314909	0.013184584	0.005730223	0.003308824	0.004424442	0.008608012	0.00393002	0.008037525	0.003803245	0.000278905	0.003270791	0.005425963	0.001559331	0.000190162	0.001419878	0.003207404	0.007289554	0.002712982	0.000266227	3.8e-05	0.000773327	0.003790568	0.001280426	0.002358012	0.003321501	0.000659229	0.000963489	5.07e-05	0.000418357	0.00020284	0	0.000507099	3.8e-05	0.000481744	0.000671907	0.000760649	0.000418357	0.000786004	0.000418357	6.34e-05	0	0.000912779	0.000456389	0.000443712	0.00020284	0.000266227	1.27e-05	2.54e-05	0.000329615	0	0	0.000583164	0.000190162	0	0	0.000507099	0.000418357	0.00030426	0.000164807	0.000545132	6.34e-05	0.000443712	0.000380325	0	0	0.000114097	0.000164807	0.000380325	0.000139452	0.00030426	0	0	6.34e-05	8.87e-05	6.34e-05	0.000177485	7.61e-05	5.07e-05	0.000139452	3.8e-05	2.54e-05	1.27e-05	0.000164807	0	0.000164807	0	0	1.27e-05	0	0.000164807	0.000164807	0	0.000240872	7.61e-05	0	3.8e-05	8.87e-05	0	0.000139452	3.8e-05	7.61e-05	1.27e-05	1.27e-05	1.27e-05	2.54e-05	2.54e-05	0	5.07e-05	2.54e-05	0	0	0	0	0	3.8e-05	0	0	0	0	1.27e-05	5.07e-05	0	1.27e-05	0	0	1.27e-05	0	1.27e-05	0	0	0	0	1.27e-05	1.27e-05	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207796653
"787_Z1_1"	0.079918864	0.102814402	0.063881846	0.156795132	0.016620183	0.025012677	0.017887931	0.029221602	0.015796146	0.042063895	0.043268256	0.019016227	0.015225659	0.026660751	0.007796653	0.017342799	0.023542089	0.010002535	0.001508621	0.029627282	0.00408215	0.012766227	0.007175456	0.003790568	0.014984787	0.002180527	0.004475152	0.003448276	0.006566937	0.011802738	0.00206643	0.003676471	0.007036004	0.002332657	0.001331136	0.000874746	7.61e-05	0.001039554	0.002434077	0.001774848	0.000342292	0.000988844	0.003435598	0.002991886	0.001838235	0.001939655	0.004094828	0.00186359	0.002662272	0.000557809	0.001356491	0.0019143	0.001242394	0.00040568	0.001318458	0.000519777	0.00015213	0.00201572	0.000418357	0.001952333	0	0.001356491	0.000735294	0.000545132	0.000671907	0.00010142	6.34e-05	0.000900101	0.000507099	0.000393002	0.00025355	0.000418357	0.00015213	0	0.000925456	0.000481744	6.34e-05	0.00025355	0.000177485	0.000266227	6.34e-05	0.000557809	2.54e-05	8.87e-05	0.000139452	0.000278905	0.000342292	0.000329615	0.000393002	0.000215517	0.000139452	0.000266227	2.54e-05	0.00010142	0.00020284	2.54e-05	0.000240872	2.54e-05	0	0.000114097	0.000190162	3.8e-05	0.00020284	0.000139452	0	0.00010142	5.07e-05	0.000164807	0	0.00010142	0	8.87e-05	0.000126775	2.54e-05	5.07e-05	1.27e-05	8.87e-05	3.8e-05	0	1.27e-05	2.54e-05	0	2.54e-05	1.27e-05	0	0.000126775	2.54e-05	7.61e-05	0	0	1.27e-05	0	1.27e-05	3.8e-05	3.8e-05	2.54e-05	2.54e-05	0	0	5.07e-05	0	0	1.27e-05	0	0	0	1.27e-05	2.54e-05	0	0	1.27e-05	1.27e-05	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	2.54e-05	0	0	0	0	0	0	0	0	0	0	3.8e-05	0	0	0	0	0	2.54e-05	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116100406
