"Taxonomy"	"Proteobacteria"	"Verrucomicrobia"	"Acidobacteria"	"Actinobacteria"	"Firmicutes"	"Bacteroidetes"	"Chloroflexi"	"Gemmatimonadetes"	"Planctomycetes"	"Thaumarchaeota"	"Nitrospirae"	"Thermomicrobia"	"Tenericutes"	"Armatimonadetes"	"Saccharibacteria"	"Cyanobacteria"	"TM6_.Dependentiae."	"Latescibacteria"	"Tectomicrobia"	"Elusimicrobia"	"Spirochaetes"	"Deferribacteres"	"Synergistetes"	"Euryarchaeota"	"Chlamydiae"	"GAL15"	"Fibrobacteres"	"BRC1"	"Ignavibacteriae"	"SBR1093"	"Microgenomates"	"Thermotogae"	"Parcubacteria"	"Omnitrophica"	"FBP"	"Deinococcus.Thermus"	"WS2"	"Hydrogenedentes"	"Fusobacteria"	"RBG.1_.Zixibacteria."	"Chlorobi"	"Candidatus_Berkelbacteria"	"Peregrinibacteria"	".DHVEG.6."	"Cloacimonetes"	"Lentisphaerae"	"BJ.169"	"Gracilibacteria"	"Atribacteria"	"Aenigmarchaeota"	"PAUC34f"	"Bathyarchaeota"	"Aquificae"	"Acetothermia"	"WWE3"	"WS6"	"Aminicenantes"	"Caldiserica"	"SR1_.Absconditabacteria."	"Others"
"LH38_Z1_1"	0.493724645	0.03528144	0.11643002	0.115098884	0.044041582	0.039807302	0.025557809	0.056579615	0.013476166	0.004297667	0.011054767	0.001648073	6.34e-05	0.001774848	0.000507099	0.000507099	0.000519777	0.000595842	0.000887424	0.000494422	5.07e-05	1.27e-05	0	6.34e-05	0.000798682	0.000177485	0.000190162	0.000291582	0.000164807	0.000190162	0.000126775	0	3.8e-05	3.8e-05	0.00015213	1.27e-05	3.8e-05	5.07e-05	0	3.8e-05	2.54e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0.03518002
"LH38_Z1_2"	0.482479716	0.028182049	0.138552231	0.115707404	0.050887424	0.034977181	0.027231237	0.05625	0.011980223	0.002243915	0.009660243	0.001305781	3.8e-05	0.001774848	0.000811359	0.000329615	0.000329615	0.000557809	0.000418357	0.00020284	7.61e-05	1.27e-05	2.54e-05	3.8e-05	0.000735294	0.000228195	0.000316937	0.00020284	6.34e-05	6.34e-05	0.00010142	0	8.87e-05	0.000114097	2.54e-05	5.07e-05	3.8e-05	7.61e-05	0	1.27e-05	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033798174
"LH38_Z1_3"	0.502865112	0.029817444	0.104703347	0.134216531	0.03160497	0.036232252	0.030856998	0.054703347	0.01844574	0.003346856	0.009368661	0.001800203	0	0.001673428	0.000925456	0.000722617	0.000950811	0.000240872	0.000874746	0.000608519	1.27e-05	0	2.54e-05	0.000228195	0.000608519	0.000266227	0.000380325	0.000228195	5.07e-05	0.000291582	0.00010142	0	0.000164807	6.34e-05	8.87e-05	0.000126775	0.000126775	7.61e-05	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	1.27e-05	0	0	0	0	0.033176978
"LH39_Z1_1"	0.561802738	0.022223631	0.105882353	0.094041582	0.034622211	0.037880325	0.018914807	0.061016734	0.007238844	0.000532454	0.011308316	0.000988844	0.000164807	0.002243915	0.000507099	0.000316937	0.000240872	0.000621197	0.000583164	0.000215517	6.34e-05	0.000114097	1.27e-05	1.27e-05	0.000393002	8.87e-05	0.000177485	0.000228195	0.00015213	0.00030426	2.54e-05	0	2.54e-05	5.07e-05	3.8e-05	0.000139452	3.8e-05	5.07e-05	3.8e-05	3.8e-05	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036650609
"LH39_Z1_2"	0.425621197	0.041848377	0.163957911	0.09354716	0.034660243	0.055704868	0.031135903	0.059977181	0.019561359	0.003169371	0.011967546	0.001179006	0.000443712	0.002459432	0.002205882	0.001052231	0.000456389	0.001166329	0.000773327	0.000633874	3.8e-05	1.27e-05	0	0.000342292	0.000291582	0.000266227	0.00025355	0.000342292	0.00020284	0.00035497	0.000329615	0	0.00030426	0.000126775	1.27e-05	7.61e-05	5.07e-05	0	5.07e-05	2.54e-05	1.27e-05	7.61e-05	6.34e-05	0	0	3.8e-05	0	2.54e-05	0	0	0	0	0	0	0	0	0	0	0	0.045182556
"LH39_Z1_3"	0.506668357	0.021285497	0.09828854	0.149860548	0.029741379	0.029145538	0.032251521	0.050824037	0.021894016	0.007543103	0.009787018	0.0019143	2.54e-05	0.001039554	0.001255071	0.000633874	0.000900101	0.000240872	0.000798682	0.00030426	0	0	0	0.000126775	0.000342292	0.00020284	0.000266227	0.00020284	1.27e-05	8.87e-05	0.000190162	0	0.00010142	5.07e-05	8.87e-05	0.000139452	0.00010142	1.27e-05	0	0	0	0	1.27e-05	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033646045
"78371A_Z1_1"	0.473884381	0.040960953	0.153663793	0.083379817	0.036599899	0.044776876	0.025824037	0.06627789	0.012474645	0.002142495	0.009951826	0.000862069	3.8e-05	0.002358012	0.000760649	0.000393002	0.000240872	0.001179006	0.000481744	0.000393002	6.34e-05	7.61e-05	1.27e-05	0	0.000393002	0.000126775	0.000126775	0.000126775	0.00015213	0.000266227	3.8e-05	0	0.00015213	5.07e-05	3.8e-05	2.54e-05	7.61e-05	7.61e-05	0	3.8e-05	2.54e-05	1.27e-05	5.07e-05	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0.041417343
"78371A_Z1_2"	0.473199797	0.036840771	0.198466024	0.074556288	0.014477688	0.033975659	0.031211968	0.060966024	0.020106491	0.001660751	0.00801217	0.001305781	0	0.001343813	0.001140974	0.000380325	0.000443712	0.000507099	0.000393002	0.000291582	0	0	0	0	0.000431034	0.00020284	7.61e-05	0.000164807	7.61e-05	0.000215517	0.00010142	0	0.000126775	7.61e-05	5.07e-05	7.61e-05	8.87e-05	7.61e-05	0	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038945233
"78371A_Z1_3"	0.459267241	0.052281947	0.134419371	0.101508621	0.031744422	0.046855984	0.029766734	0.059495436	0.022185598	0.009444726	0.008608012	0.001648073	5.07e-05	0.001686105	0.000494422	0.000722617	0.00040568	0.000545132	0.000773327	0.000278905	0	0	0	0	0.000418357	0.000190162	6.34e-05	0.00020284	7.61e-05	0.000266227	8.87e-05	0	6.34e-05	3.8e-05	7.61e-05	8.87e-05	5.07e-05	7.61e-05	0	2.54e-05	5.07e-05	1.27e-05	1.27e-05	1.27e-05	0	0	0	1.27e-05	0	0	0	0	0	0	0	0	0	0	0	0.035991379
"787_Z1_1"	0.611637931	0.024492901	0.062170385	0.056009128	0.078473631	0.063856491	0.01476927	0.035978702	0.009051724	0.005349899	0.007036004	0.000735294	0.002852434	0.000862069	0.000266227	0.001179006	0.000164807	0.000367647	0.000811359	0.000367647	0.00025355	6.34e-05	0.000557809	0.00020284	8.87e-05	7.61e-05	0.000329615	3.8e-05	0.000139452	0.00010142	1.27e-05	0.000126775	0.000126775	0.000139452	2.54e-05	1.27e-05	0	0	0	1.27e-05	2.54e-05	0	0	0	0	0	1.27e-05	0	3.8e-05	0	1.27e-05	1.27e-05	0	0	0	0	0	0	0	0.021158722
