"Taxonomy"	"Incertae_sedis_Zygomycota"	"Sordariomycetes"	"Eurotiomycetes"	"Leotiomycetes"	"Incertae_sedis_Ascomycota"	"Agaricomycetes"	"Dothideomycetes"	"Saccharomycetes"	"Chytridiomycetes"	"Pezizomycetes"	"Ustilaginomycetes"	"Glomeromycetes"	"Orbiliomycetes"	"Microbotryomycetes"	"Tremellomycetes"	"Blastocladiomycetes"	"Incertae_sedis_Fungi"	"Lecanoromycetes"	"Agaricostilbomycetes"	"Cystobasidiomycetes"	"Wallemiomycetes"	"Incertae_sedis_Basidiomycota"	"Monoblepharidomycetes"	"Taphrinomycetes"	"Archaeorhizomycetes"	"Neocallimastigomycetes"	"Exobasidiomycetes"	"Tritirachiomycetes"	"Others"
"LH38_Z1_1"	0.048230396	0.097501735	0.062109646	0.010409438	0.003469813	0.004857738	0.091603053	0.001387925	0.002081888	0.005204719	0.030534351	0	0	0.004857738	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637057599
"LH38_Z1_2"	0.113462873	0.174878557	0.362248439	0.011797363	0.052741152	0.009368494	0.041637752	0.000346981	0.000693963	0.001040944	0.000346981	0.000693963	0.000346981	0.003816794	0.001734906	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0.224496877
"LH38_Z1_3"	0.208188758	0.235253296	0.057945871	0.035045108	0.044413602	0.006592644	0.055170021	0.000693963	0.012144344	0.001734906	0.004163775	0	0.000346981	0.001040944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337265788
"LH39_Z1_1"	0.081193616	0.073907009	0.013879251	0.004857738	0.003122831	0.004510756	0.019083969	0.000346981	0.002081888	0.00277585	0.001040944	0	0	0.000346981	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.792505205
"LH39_Z1_2"	0.046495489	0.04129077	0.006592644	0.006592644	0.003122831	0.004163775	0.007633588	0.001040944	0.000693963	0.001387925	0.000346981	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880291464
"LH39_Z1_3"	0.227619709	0.273074254	0.075988897	0.014920194	0.038167939	0.00277585	0.033657183	0.000346981	0.000346981	0.001734906	0.006939625	0	0.000346981	0.002081888	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32130465
"78371A_Z1_1"	0.052394171	0.049965302	0.009715475	0.004510756	0.002081888	0.006939625	0.019777932	0.001734906	0.002081888	0.001387925	0	0	0.000693963	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.848369188
"78371A_Z1_2"	0.052741152	0.05482304	0.0111034	0.012838307	0.007286607	0.006245663	0.021512838	0.002081888	0.000693963	0.001387925	0.000346981	0.000346981	0	0.000693963	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.827203331
"78371A_Z1_3"	0.10721721	0.27480916	0.021165857	0.008674532	0.011797363	0.012838307	0.020124913	0.000693963	0.002428869	0.002081888	0.001040944	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536780014
"787_Z1_1"	0.376127689	0.156835531	0.053088133	0.012144344	0	0.125607217	0.030534351	0.036086051	0.000693963	0.003122831	0.001040944	0	0.001040944	0.00277585	0.00832755	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0.19222762
"787_Z1_2"	0.279319917	0.297015961	0.032616239	0.023594726	0.009021513	0.009021513	0.039555864	0.064191534	0.001040944	0.005898681	0.012838307	0	0.001040944	0.007980569	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216516308
"787_Z1_3"	0.152324774	0.344899375	0.030881332	0.010409438	0.000346981	0.062456627	0.039555864	0.128383067	0.001387925	0.000346981	0.022206801	0.003469813	0.000693963	0.002081888	0.000346981	0	0	0.000693963	0	0	0.000346981	0	0	0	0	0	0	0	0.199167245
"IB014_Z1_1"	0.155447606	0.099583622	0.016655101	0.004163775	0.002081888	0.001040944	0.026370576	0.001040944	0.000693963	0.001040944	0.007286607	0.001734906	0.000346981	0.003816794	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.678001388
"IB014_Z1_2"	0.095766829	0.110340042	0.043372658	0.015961138	0.004857738	0.037820958	0.027064539	0.000693963	0.000693963	0.008674532	0.003122831	0.001040944	0.000346981	0.00277585	0.000346981	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0.646773074
"IB014_Z1_3"	0.154753643	0.310201249	0.073907009	0.029493407	0	0.004510756	0.071131159	0.000346981	0.001387925	0.000346981	0.006245663	0.002428869	0	0.002428869	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342123525
"PHN11_Z1_1"	0.147814018	0.106176266	0.023247745	0.006245663	0.000346981	0.007980569	0.036433033	0.002428869	0.001040944	0.003469813	0.002428869	0.016308119	0	0	0.002428869	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0	0.64295628
"PHN11_Z1_2"	0.045801527	0.058986815	0.017696044	0.005898681	0.006592644	0.006245663	0.012144344	0.000346981	0.004510756	0.009368494	0.000346981	0	0	0.000693963	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.831020125
"PHN11_Z1_3"	0.135669674	0.137751561	0.019083969	0.009021513	0.017696044	0.013185288	0.012491325	0.000693963	0.020471895	0.006939625	0.001040944	0	0	0.001734906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.624219292
"PHJ75_Z1_1"	0.086051353	0.090215128	0.014573213	0.006245663	0.000346981	0.006245663	0.016308119	0.000346981	0.004510756	0.003469813	0.002428869	0.000346981	0.000693963	0.001734906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76648161
"PHJ75_Z1_2"	0.118320611	0.117626648	0.056904927	0.007980569	0.001734906	0.002428869	0.028452464	0.000693963	0.00277585	0.001040944	0.005204719	0.005204719	0	0.000693963	0.001040944	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649895906
"PHJ75_Z1_3"	0.122831367	0.168979875	0.022206801	0.192921582	0.015614157	0.003816794	0.05482304	0	0.002081888	0.006245663	0.000346981	0.006245663	0	0.000346981	0.002428869	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40111034
"PHM10_Z1_1"	0.089521166	0.097154754	0.02741152	0.001734906	0.000693963	0.004163775	0.02463567	0.001040944	0.001040944	0.001734906	0.009021513	0.000346981	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.740804997
"PHM10_Z1_2"	0.105135323	0.149201943	0.018043026	0.004857738	0.009021513	0.003469813	0.079111728	0.023247745	0.001734906	0.001387925	0.001734906	0.000346981	0	0.004163775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.598542679
"PHM10_Z1_3"	0.257807078	0.252602359	0.076335878	0.070437196	0	0.0055517	0.066620402	0.000346981	0.001040944	0.007633588	0.003122831	0.000346981	0	0.003122831	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254337266
"LH205_Z1_1"	0.051700208	0.084316447	0.077376822	0.004163775	0.009021513	0.004510756	0.006939625	0	0.000346981	0.001387925	0.001040944	0.001040944	0.001040944	0.001734906	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755031228
"LH205_Z1_2"	0.009715475	0.114850798	0.063844552	0	0.005898681	0.041984733	0.190145732	0	0.034351145	0.023594726	0.036086051	0	0.023594726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45593338
"LH205_Z1_3"	0.302914643	0.179389313	0.029493407	0.004510756	0	0.002081888	0.023247745	0	0.001040944	0.000693963	0.00277585	0	0	0.00277585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451075642
"PHW51_Z1_1"	0.092990978	0.510062457	0.046842471	0.078417765	0.009021513	0.006939625	0.028799445	0	0.00277585	0.001040944	0.004163775	0.008674532	0.001734906	0.002428869	0.001040944	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205065926
"PHW51_Z1_2"	0.209923664	0.316446912	0.138098543	0.015961138	0.032269257	0.007633588	0.073213046	0.000346981	0.000346981	0.0055517	0.007633588	0	0.001040944	0.000693963	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190145732
"PHW51_Z1_3"	0.044760583	0.303261624	0.055170021	0.163775156	0.004163775	0.006245663	0.040943789	0.000346981	0.015614157	0.003469813	0.010756419	0	0	0.003469813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.348022207
"B73_Z1_1"	0.190145732	0.215822346	0.060721721	0.019777932	0.000346981	0.006245663	0.055863983	0.001040944	0.001387925	0.0055517	0.002428869	0	0	0.000693963	0.003469813	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436502429
"B73_Z1_2"	0.197085357	0.344899375	0.066967384	0.013879251	0.020124913	0.016655101	0.053782096	0	0.003122831	0.001734906	0.019430951	0.000693963	0.000346981	0.013879251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247397641
"B73_Z1_3"	0.09056211	0.22241499	0.078417765	0.018390007	0.003816794	0.036086051	0.06037474	0.001040944	0.001040944	0.014573213	0.000693963	0.007286607	0.000346981	0.004163775	0.001387925	0	0.000346981	0	0	0	0.000346981	0	0	0	0	0	0	0	0.45870923
"A632_Z1_1"	0.230395559	0.266828591	0.042331714	0.008674532	0.000346981	0.004510756	0.100971548	0.09333796	0.002428869	0.001734906	0.005204719	0.00277585	0	0.003469813	0.002081888	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0.234559334
"A632_Z1_2"	0.152671756	0.386537127	0.031575295	0.012838307	0.037126995	0.004510756	0.148160999	0	0.001387925	0.001040944	0.003122831	0.002428869	0	0.002081888	0.001734906	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214781402
"A632_Z1_3"	0.216863289	0.248091603	0.022900763	0.012838307	0.000693963	0.004510756	0.033657183	0	0.005204719	0.001387925	0.002428869	0.000346981	0.001387925	0.005898681	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443442054
"Mo17_Z1_1"	0.119014573	0.110687023	0.048577377	0.008674532	0	0.004857738	0.041637752	0.001040944	0	0.002428869	0.000346981	0.004857738	0	0	0.001040944	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0.65648855
"Mo17_Z1_2"	0.125260236	0.323039556	0.056904927	0.004510756	0.316446912	0.014226232	0.022553782	0	0.001734906	0.001387925	0.000346981	0.000346981	0.004163775	0.000693963	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128036086
"Mo17_Z1_3"	0.195697432	0.274115198	0.13185288	0.004510756	0.051006246	0.0055517	0.013879251	0.001040944	0.001734906	0.000693963	0.001040944	0.000346981	0.000346981	0.004857738	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312630118
"LH51_Z1_1"	0.335877863	0.257113116	0.039555864	0.004163775	0.020471895	0.002428869	0.02463567	0.002428869	0.002081888	0.00277585	0.001387925	0	0	0.004163775	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301526718
"LH51_Z1_2"	0.237335184	0.165857044	0.019777932	0.007633588	0.009715475	0.004163775	0.02185982	0.000346981	0.006939625	0.004857738	0.000693963	0.00832755	0	0.002428869	0.006245663	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0.503469813
"LH51_Z1_3"	0.204024983	0.272380291	0.041984733	0.014226232	0.000693963	0.00832755	0.037126995	0	0.000693963	0.001040944	0.000693963	0	0.001040944	0.001040944	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0.416377516
"LH52_Z1_1"	0.089521166	0.085357391	0.016308119	0.005204719	0.000346981	0.00277585	0.011450382	0.059680777	0.000693963	0.000693963	0.000346981	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.727272727
"LH52_Z1_2"	0.162734212	0.090215128	0.021165857	0.003816794	0.00832755	0.002428869	0.011797363	0	0.001734906	0.001040944	0.002081888	0.000346981	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.693615545
"LH52_Z1_3"	0.149548924	0.202984039	0.145385149	0.00832755	0.177654407	0.009021513	0.017349063	0.002428869	0.000346981	0.000693963	0.000693963	0.000346981	0	0.002081888	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282442748
"E8501_Z1_1"	0.070784178	0.080152672	0.011450382	0.016655101	0.001040944	0.007980569	0.014226232	0.000693963	0.001387925	0.000693963	0.000693963	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79389313
"E8501_Z1_2"	0.20055517	0.142609299	0.020818876	0.004857738	0.014573213	0.002081888	0.014226232	0.054129077	0.004857738	0.003816794	0.003816794	0	0.000346981	0.002081888	0.000346981	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0.530534351
"E8501_Z1_3"	0.176960444	0.238029146	0.041984733	0.055517002	0.001387925	0.006592644	0.116932686	0	0.004857738	0.001734906	0.00277585	0.000693963	0	0.003122831	0.009021513	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0.339694656
"LH93_Z1_1"	0.224149896	0.378209577	0.091603053	0.0055517	0.032269257	0.004510756	0.024982651	0	0.001040944	0.001387925	0.000693963	0.00277585	0	0.006592644	0.003469813	0	0	0	0	0.000346981	0	0	0.000346981	0	0	0	0	0	0.222068008
"LH93_Z1_2"	0.180430257	0.251214434	0.068008328	0.007286607	0.040596808	0.007286607	0.02463567	0.000346981	0.002081888	0.006592644	0	0.0055517	0.000346981	0.001040944	0.00277585	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0.401457321
"LH93_Z1_3"	0.218251214	0.231783484	0.115544761	0.0055517	0.002081888	0.008674532	0.031228314	0	0.001734906	0.003816794	0	0.002428869	0.000346981	0.00277585	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374392783
"PHJ31_Z1_1"	0.120055517	0.243580847	0.024288688	0.028452464	0.000346981	0.009368494	0.049965302	0.001040944	0.001040944	0.003469813	0.000346981	0.001040944	0	0.001734906	0.001734906	0	0	0	0	0	0	0	0	0	0	0	0	0	0.513532269
"PHJ31_Z1_2"	0.128383067	0.386884108	0.105829285	0.017349063	0.019083969	0.021512838	0.042331714	0	0.001040944	0.004857738	0.002081888	0.0055517	0.000693963	0.007633588	0.003469813	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253296322
"PHJ31_Z1_3"	0.152324774	0.058292852	0.008674532	0.004163775	0.001734906	0.003122831	0.010409438	0	0.001387925	0.001734906	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757460097
"PHW20_Z1_1"	0.19222762	0.340388619	0.060721721	0.008674532	0.064191534	0.003469813	0.061068702	0	0.003122831	0.009021513	0.018736988	0	0	0.019430951	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218598196
"PHW20_Z1_2"	0.07980569	0.063844552	0.008674532	0.004857738	0.012838307	0.001734906	0.012491325	0.000346981	0.00277585	0.004163775	0.000346981	0	0	0.000346981	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807078418
"PHW20_Z1_3"	0.310895212	0.360860514	0.062109646	0.019777932	0.010756419	0.003469813	0.072866065	0.000346981	0.001734906	0.002428869	0.001040944	0.002428869	0.000693963	0.002081888	0.001734906	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146773074
"W64A_Z1_1"	0.068355309	0.086051353	0.02185982	0.013532269	0.009368494	0.002081888	0.026370576	0.001040944	0	0.003816794	0.000693963	0	0	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.765440666
"W64A_Z1_2"	0.163775156	0.157876475	0.023594726	0.009021513	0.031575295	0.006939625	0.078070784	0.002428869	0.00277585	0.001387925	0	0.004163775	0.001040944	0.001040944	0.003122831	0	0	0	0	0	0	0	0	0	0	0	0	0	0.513185288
"W64A_Z1_3"	0.243927828	0.294587092	0.049965302	0.012838307	0.000693963	0.012838307	0.046842471	0	0.003469813	0.005204719	0.013185288	0.001387925	0.000346981	0.000693963	0.005204719	0	0	0.003122831	0	0	0	0	0	0	0	0	0	0	0.305690493
"LH38_Z2_1"	0.147814018	0.118667592	0.020818876	0.006245663	0.001734906	0.004510756	0.017002082	0.018043026	0.000693963	0.003122831	0.009021513	0.004163775	0.000693963	0.003816794	0.001734906	0	0	0	0	0	0	0	0	0	0	0	0	0	0.641915337
"LH38_Z2_2"	0.203678001	0.184941013	0.07147814	0.012838307	0.075988897	0.013185288	0.052741152	0.001040944	0.002081888	0.003816794	0	0.009368494	0	0.005204719	0.012838307	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350798057
"LH38_Z2_3"	0.256766135	0.070784178	0.011797363	0.030881332	0.011797363	0.002081888	0.016308119	0.001040944	0.001387925	0.000346981	0.000693963	0.002081888	0.001040944	0.000346981	0.001040944	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591603053
"LH39_Z2_1"	0.10999306	0.153365718	0.027064539	0.014573213	0.001734906	0.007633588	0.029146426	0.000693963	0.0055517	0.004857738	0.013185288	0	0.000346981	0.007633588	0.000346981	0	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0.623178348
"LH39_Z2_2"	0.07425399	0.084316447	0.023941707	0.017696044	0.004163775	0.0055517	0.020124913	0.002081888	0.001387925	0.004163775	0.001040944	0	0.000346981	0.001387925	0	0	0.001040944	0	0	0	0	0.000346981	0	0	0	0	0	0	0.75815406
"LH39_Z2_3"	0.237335184	0.247050659	0.058639833	0.010062457	0.018043026	0.002428869	0.029840389	0	0.000693963	0.001387925	0.0111034	0.000693963	0	0.001734906	0.002428869	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0.378209577
"78371A_Z2_1"	0.051700208	0.09056211	0.015961138	0.006592644	0.00277585	0.009715475	0.020124913	0.001387925	0.002428869	0.001734906	0.000693963	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.795628036
"78371A_Z2_2"	0.037473976	0.064538515	0.010062457	0.015614157	0.012144344	0.010756419	0.028452464	0.070090215	0.001734906	0.002081888	0.000346981	0.00277585	0	0.001040944	0.002081888	0	0	0	0	0	0	0	0	0	0	0	0	0	0.740804997
"78371A_Z2_3"	0.105135323	0.095419847	0.034004164	0.008674532	0.004857738	0.004857738	0.037820958	0.001040944	0.001387925	0.002428869	0.000346981	0	0.000346981	0.000693963	0.000693963	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0.701943095
"787_Z2_1"	0.315405968	0.231089521	0.024288688	0.022900763	0.014573213	0.021165857	0.080846634	0.058292852	0.006939625	0.004163775	0.006939625	0.013185288	0.001734906	0.003816794	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193268563
"787_Z2_2"	0.134975711	0.193962526	0.110340042	0.013532269	0.018736988	0.032269257	0.055863983	0.015267176	0.003122831	0.019083969	0.001387925	0	0	0.0055517	0.000346981	0	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0.394864677
