"Taxonomy"	"Mortierellaceae"	"Trichocomaceae"	"Thelebolaceae"	"Cordycipitaceae"	"Incertae_sedis_Ascomycota"	"Nectriaceae"	"Incertae_sedis_Hypocreales"	"Ceratobasidiaceae"	"Chaetomiaceae"	"Pleosporaceae"	"Hypocreaceae"	"Microascaceae"	"Chaetothyriaceae"	"Lasiosphaeriaceae"	"Incertae_sedis_Sordariomycetes"	"Incertae_sedis_Helotiales"	"Incertae_sedis_Dothideomycetes"	"Incertae_sedis_Cantharellales"	"Incertae_sedis_Trichosphaeriales"	"Corticiaceae"	"Rhizophlyctidaceae"	"Incertae_sedis_Leotiomycetes"	"Amylocorticiaceae"	"Kickxellaceae"	"Helotiaceae"	"Herpotrichiellaceae"	"Incertae_sedis_Pleosporales"	"Incertae_sedis_Eurotiales"	"Chytridiaceae"	"Incertae_sedis_Sporidiobolales"	"Gymnoascaceae"	"Incertae_sedis_Xylariales"	"Spizellomycetaceae"	"Orbiliaceae"	"Diversisporaceae"	"Cystofilobasidiaceae"	"Myxotrichaceae"	"Incertae_sedis_Tremellales"	"Davidiellaceae"	"Bolbitiaceae"	"Glomerellaceae"	"Rhizopodaceae"	"Sordariaceae"	"Incertae_sedis_Cystofilobasidiales"	"Glomeraceae"	"Xylariaceae"	"Psathyrellaceae"	"Bionectriaceae"	"Agaricaceae"	"Inocybaceae"	"Onygenaceae"	"Mucoraceae"	"Pezizaceae"	"Ophiocordycipitaceae"	"Mycosphaerellaceae"	"Pluteaceae"	"Pyronemataceae"	"Incertae_sedis_Fungi"	"Phanerochaetaceae"	"Schizophyllaceae"	"Phaeosphaeriaceae"	"Acarosporaceae"	"Meruliaceae"	"Ustilaginaceae"	"Sporormiaceae"	"Erysiphaceae"	"Amanitaceae"	"Coniochaetaceae"	"Niessliaceae"	"Incertae_sedis_Onygenales"	"Eremomycetaceae"	"Incertae_sedis_Capnodiales"	"Claroideoglomeraceae"	"Aplosporellaceae"	"Incertae_sedis_Sordariales"	"Incertae_sedis_Saccharomycetales"	"Wallemiaceae"	"Strophariaceae"	"Chaetosphaeriaceae"	"Incertae_sedis_Auriculariales"	"Incertae_sedis_Erythrobasidiales"	"Agaricostilbaceae"	"Trapeliaceae"	"Incertae_sedis_Agaricomycetes"	"Clavicipitaceae"	"Saccharomycetaceae"	"Rhytismataceae"	"Coniophoraceae"	"Magnaporthaceae"	"Polyporaceae"	"Botryosphaeriaceae"	"Malasseziaceae"	"Niaceae"	"Rutstroemiaceae"	"Incertae_sedis_Chaetothyriales"	"Montagnulaceae"	"Ascobolaceae"	"Corynesporascaceae"	"Hydnodontaceae"	"Capnodiaceae"	"Fomitopsidaceae"	"Archaeorhizomycetaceae"	"Cystobasidiaceae"	"Ganodermataceae"	"Ajellomycetaceae"	"Monascaceae"	"Debaryomycetaceae"	"Togniniaceae"	"Incertae_sedis_Pezizales"	"Entolomataceae"	"Trichosporonaceae"	"Lophiostomataceae"	"Sporidiobolaceae"	"Sclerotiniaceae"	"Halosphaeriaceae"	"Marasmiaceae"	"Morchellaceae"	"Apiosporaceae"	"Phacidiaceae"	"Teratosphaeriaceae"	"Taphrinaceae"	"Russulaceae"	"Diatrypaceae"	"Incertae_sedis_Microascales"	"Schizoporaceae"	"Ceratostomataceae"	"Physalacriaceae"	"Incertae_sedis_Agaricales"	"Peniophoraceae"	"Arthrodermataceae"	"Teloschistaceae"	"Leptosphaeriaceae"	"Venturiaceae"	"Geastraceae"	"Amphisphaeriaceae"	"Dothideaceae"	"Lichtheimiaceae"	"Diaporthaceae"	"Tubeufiaceae"	"Plectosphaerellaceae"	"Pichiaceae"	"Leotiaceae"	"Tricholomataceae"	"Verrucariaceae"	"Gloeophyllaceae"	"Sebacinales.Group.B"	"Blastocladiaceae"	"Terramycetaceae"	"Dermateaceae"	"Umbelopsidaceae"	"Tritirachium"	"Lyophyllaceae"	"Saccharomycopsidaceae"	"Arachnomycetaceae"	"Clavariaceae"	"Incertae_sedis_Polyporales"	"Atheliaceae"	"Rhizophydiaceae"	"Incertae_sedis_Exobasidiomycetes"	"Antennulariellaceae"	"Clavulinaceae"	"Cucurbitariaceae"	"Tetraplosphaeriaceae"	"Geminibasidiaceae"	"Dothioraceae"	"Albatrellaceae"	"Cephalothecaceae"	"Pseudeurotiaceae"	"Ceratocystidaceae"	"Metschnikowiaceae"	"Archaeosporaceae"	"Hydnangiaceae"	"Catenariaceae"	"Massarinaceae"	"Saccotheciaceae"	"Dipodascaceae"	"Olpidiaceae"	"Sclerodermataceae"	"Chionosphaeraceae"	"Helvellaceae"	"Incertae_sedis_Diaporthales"	"Sebacinaceae"	"Microthyriaceae"	"Trichomonascaceae"	"Filobasidiaceae"	"Thelephoraceae"	"Neocallimastigaceae"	"Kondoaceae"	"Cunninghamellaceae"	"Saccharomycodaceae"	"Lulworthiaceae"	"Clypeosphaeriaceae"	"Physodermataceae"	"Thermoascaceae"	"Pleurotaceae"	"Lentitheciaceae"	"Hygrophoraceae"	"Others"
"LH38_Z1_1"	0.047883414	0.03573907	0	0.006245663	0.003469813	0	0.03573907	0.000346981	0.004857738	0.003816794	0.013532269	0.014226232	0.001040944	0	0.013532269	0	0	0	0	0.000693963	0	0.003469813	0	0.000346981	0.005204719	0.0055517	0	0	0.001040944	0.004857738	0.004510756	0	0.000346981	0	0	0	0.001734906	0.000693963	0	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001387925	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.787994448
"LH38_Z1_2"	0.106870229	0.349063151	0.002428869	0.006592644	0.052741152	0.034698126	0.052741152	0.004163775	0.003122831	0.022553782	0.00832755	0.006245663	0.000693963	0.008674532	0.0111034	0.001040944	0	0	0.001387925	0	0.000346981	0.001387925	0	0	0.003122831	0.002081888	0.001387925	0	0	0.003816794	0.004163775	0	0	0	0	0	0.002081888	0.001734906	0.003469813	0.000346981	0	0.000346981	0	0	0	0	0.001040944	0.001734906	0.000346981	0	0	0.000346981	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298403886
"LH38_Z1_3"	0.201249133	0.047189452	0.026370576	0.036780014	0.044413602	0.032616239	0.049618321	0.000346981	0.00832755	0.033310201	0.004510756	0.013185288	0.000693963	0.011797363	0.014226232	0.001734906	0.000346981	0	0.001040944	0.000346981	0.010756419	0.002428869	0	0	0.001040944	0.000346981	0.005204719	0.000693963	0.000346981	0.001040944	0.001387925	0	0.000693963	0	0	0	0.001040944	0	0.003122831	0.000346981	0	0	0	0	0	0	0.000346981	0.002081888	0	0.000346981	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439972241
"LH39_Z1_1"	0.068008328	0.010062457	0	0.001040944	0.003122831	0.0055517	0.021165857	0	0.002428869	0.007286607	0.002428869	0.0055517	0.001040944	0.009021513	0.002081888	0.001387925	0	0.000346981	0.001734906	0	0	0.000346981	0	0.000346981	0.001040944	0.000346981	0.001040944	0	0	0.000346981	0.000346981	0	0.001734906	0	0	0	0.001387925	0	0.004510756	0	0	0	0	0	0	0	0.000346981	0.001040944	0.000346981	0	0	0.000346981	0	0	0.000346981	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84351145
"LH39_Z1_2"	0.04129077	0.004163775	0	0.001387925	0.003122831	0.0055517	0.014573213	0.000346981	0.002081888	0.003816794	0.000346981	0.001734906	0	0.004857738	0.001040944	0.000346981	0	0	0.000693963	0	0	0.000346981	0	0	0.0055517	0	0	0	0	0.000346981	0.000693963	0	0.000693963	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0.000693963	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.904927134
"LH39_Z1_3"	0.214087439	0.061068702	0.001387925	0.012144344	0.038167939	0.015614157	0.099236641	0.000693963	0.005204719	0.009368494	0.00832755	0.013532269	0.000346981	0.021512838	0.007980569	0.001734906	0	0	0.007980569	0	0	0.009368494	0	0	0.001040944	0.001387925	0.004510756	0.000693963	0	0.002081888	0.002081888	0	0	0	0	0	0.000346981	0.000693963	0.003469813	0	0	0.000346981	0	0	0	0	0	0.001387925	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.452810548
"78371A_Z1_1"	0.048230396	0.007980569	0	0.000346981	0.002081888	0.013532269	0.006592644	0.00277585	0.000346981	0.013185288	0.001040944	0.000693963	0.000346981	0.0055517	0.001040944	0.001040944	0	0	0.000693963	0.000693963	0	0	0	0	0.002081888	0.000346981	0.000693963	0	0	0.000346981	0.001040944	0	0.001734906	0.000346981	0	0	0	0	0.001734906	0	0.001040944	0	0	0	0	0	0	0.000693963	0	0.000693963	0	0.000346981	0.000346981	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880985427
"78371A_Z1_2"	0.039902845	0.010062457	0.006592644	0.002081888	0.007286607	0.00832755	0.00832755	0	0.000693963	0.009715475	0	0.001387925	0	0.009368494	0.00277585	0.003122831	0	0	0	0	0.000346981	0	0	0.000346981	0.001387925	0.000346981	0	0	0	0.000693963	0.000346981	0	0.000346981	0	0	0	0	0.000346981	0.001040944	0.000346981	0	0	0	0	0.000346981	0	0	0.001734906	0	0.000346981	0	0.000693963	0	0.001040944	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880291464
"78371A_Z1_3"	0.097154754	0.017002082	0.002428869	0.004163775	0.011797363	0.00832755	0.030881332	0	0.137751561	0.010409438	0.003122831	0.006939625	0.000693963	0.040249827	0.002081888	0.001387925	0	0	0.006939625	0	0	0.000693963	0	0	0.003816794	0.000346981	0.002081888	0	0	0.000346981	0.000346981	0	0.001040944	0	0	0	0	0	0.001387925	0.001040944	0	0.000346981	0	0	0	0.000346981	0.000693963	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.604788341
"787_Z1_1"	0.367453158	0.046148508	0.003122831	0.000346981	0	0.029840389	0.040596808	0.002428869	0.006245663	0.012838307	0.003122831	0.004857738	0.002081888	0.013879251	0.004163775	0.00277585	0.000693963	0.068355309	0.001040944	0	0	0	0	0.002081888	0.002428869	0.001040944	0.002081888	0	0.000693963	0.00277585	0.000693963	0	0	0.000346981	0	0.000346981	0.000693963	0.007980569	0.00277585	0.010062457	0	0	0.002428869	0	0	0	0.002428869	0.001040944	0.000346981	0.000346981	0	0	0	0	0	0.000693963	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347328244
