"Taxonomy"	"Mortierellales"	"Eurotiales"	"Hypocreales"	"Thelebolales"	"Incertae_sedis_Ascomycota"	"Pleosporales"	"Sordariales"	"Cantharellales"	"Saccharomycetales"	"Microascales"	"Chaetothyriales"	"Incertae_sedis_Sordariomycetes"	"Helotiales"	"Incertae_sedis_Dothideomycetes"	"Trichosphaeriales"	"Pezizales"	"Corticiales"	"Rhizophlyctidales"	"Incertae_sedis_Leotiomycetes"	"Amylocorticiales"	"Kickxellales"	"Ustilaginales"	"Agaricales"	"Orbiliales"	"Chytridiales"	"Sporidiobolales"	"Onygenales"	"Xylariales"	"Spizellomycetales"	"Cystofilobasidiales"	"Diversisporales"	"Mucorales"	"Glomerales"	"Tremellales"	"Capnodiales"	"Sebacinales"	"Blastocladiales"	"Polyporales"	"Russulales"	"Incertae_sedis_Fungi"	"Acarosporales"	"Erysiphales"	"Coniochaetales"	"Botryosphaeriales"	"Erythrobasidiales"	"Agaricostilbales"	"Auriculariales"	"Agyriales"	"Wallemiales"	"Chaetosphaeriales"	"Incertae_sedis_Agaricomycetes"	"Boletales"	"Magnaporthales"	"Malasseziales"	"Rhytismatales"	"Teloschistales"	"Melanosporales"	"Paraglomerales"	"Diaporthales"	"Venturiales"	"Archaeorhizomycetales"	"Trichosporonales"	"Taphrinales"	"Geastrales"	"Trechisporales"	"Cystobasidiales"	"Incertae_sedis_Eurotiomycetes"	"Hymenochaetales"	"Incertae_sedis_Exobasidiomycetes"	"Arachnomycetales"	"Archaeosporales"	"Geminibasidiales"	"Verrucariales"	"Tubeufiales"	"Rhizophydiales"	"Neocallimastigales"	"Thelephorales"	"Boliniales"	"Dothideales"	"Filobasidiales"	"Incertae_sedis_Tritirachiomycetes"	"Gloeophyllales"	"Olpidiales"	"Leotiales"	"Microthyriales"	"Lulworthiales"	"Atheliales"	"Others"
"LH38_Z1_1"	0.047883414	0.036086051	0.058292852	0	0.003469813	0.010409438	0.007286607	0.000693963	0.001387925	0.014226232	0.006592644	0.013532269	0.005204719	0	0	0.005204719	0.000693963	0	0.005204719	0	0.000346981	0.030534351	0.00277585	0	0.001040944	0.004857738	0.004510756	0	0.000346981	0	0	0	0	0.000693963	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738376128
"LH38_Z1_2"	0.106870229	0.349063151	0.108952117	0.002428869	0.052741152	0.026023595	0.018736988	0.004510756	0.000346981	0.007633588	0.00277585	0.0111034	0.004163775	0	0.001387925	0.001040944	0	0.000346981	0.003469813	0	0	0.000346981	0.001734906	0.000346981	0	0.003816794	0.004163775	0	0	0	0	0.000693963	0.000693963	0.001734906	0.0111034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273421235
"LH38_Z1_3"	0.201249133	0.047883414	0.12907703	0.026370576	0.044413602	0.043719639	0.043372658	0.000693963	0.000693963	0.022206801	0.001040944	0.014226232	0.00277585	0.000346981	0.001040944	0.001734906	0.000346981	0.010756419	0.003469813	0	0	0.004163775	0.001387925	0.000346981	0.000346981	0.001040944	0.001387925	0	0.000693963	0	0	0	0	0	0.003122831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391741846
"LH39_Z1_1"	0.068008328	0.010409438	0.034004164	0	0.003122831	0.009021513	0.017002082	0.000346981	0.000346981	0.007286607	0.001387925	0.002081888	0.002428869	0	0.001734906	0.00277585	0	0	0.001734906	0	0.000346981	0.001040944	0.001734906	0	0	0.000346981	0.000346981	0	0.001734906	0	0	0.000346981	0	0	0.004857738	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82685635
"LH39_Z1_2"	0.04129077	0.004163775	0.022206801	0	0.003122831	0.005204719	0.011450382	0.000346981	0.001040944	0.003122831	0	0.001040944	0.005898681	0	0.000693963	0.001387925	0	0	0.000346981	0	0	0.000346981	0.001387925	0	0	0.000346981	0.000693963	0	0.000693963	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.894517696
"LH39_Z1_3"	0.214087439	0.062803609	0.142609299	0.001387925	0.038167939	0.019777932	0.030881332	0.000693963	0.000346981	0.022206801	0.002081888	0.007980569	0.00277585	0	0.007980569	0.001734906	0	0	0.009715475	0	0	0.006939625	0.001040944	0	0	0.002081888	0.002428869	0	0	0	0	0.000346981	0	0.000693963	0.003816794	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416377516
"78371A_Z1_1"	0.048230396	0.007980569	0.023247745	0	0.002081888	0.014573213	0.015961138	0.003122831	0.001734906	0.001387925	0.000693963	0.002081888	0.003122831	0	0.000693963	0.001387925	0.000693963	0	0	0	0	0	0.000693963	0.000346981	0	0.000346981	0.001040944	0	0.001734906	0	0	0.000346981	0	0	0.002428869	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86537127
"78371A_Z1_2"	0.039902845	0.010062457	0.025329632	0.006592644	0.007286607	0.012144344	0.016308119	0.000346981	0.002081888	0.002081888	0.000346981	0.00277585	0.004510756	0	0	0.001387925	0	0.000346981	0	0	0.000346981	0.000346981	0.001387925	0	0	0.000693963	0.000346981	0.000693963	0.000346981	0	0	0.000693963	0.000346981	0.000346981	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.861554476
"78371A_Z1_3"	0.097154754	0.017349063	0.048577377	0.002428869	0.011797363	0.014920194	0.187716863	0	0.000693963	0.010062457	0.001040944	0.002081888	0.005204719	0	0.006939625	0.002081888	0	0	0.000693963	0	0	0.001040944	0.001734906	0	0	0.000346981	0.000346981	0.000346981	0.001040944	0	0	0.000346981	0	0	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584663428
"787_Z1_1"	0.367453158	0.046148508	0.080152672	0.003122831	0	0.019430951	0.034351145	0.071131159	0.036086051	0.012838307	0.003122831	0.004163775	0.005204719	0.000693963	0.001040944	0.003122831	0	0	0.000693963	0	0.002081888	0.001040944	0.015267176	0.000346981	0.000693963	0.00277585	0.000693963	0	0	0.000346981	0	0	0	0.007980569	0.00277585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276891048
