"Taxonomy"	"Zygomycota"	"Ascomycota"	"Basidiomycota"	"Chytridiomycota"	"Glomeromycota"	"Incertae_sedis_Fungi"	"Neocallimastigomycota"	"Others"
"LH38_Z1_1"	0.048230396	0.279319917	0.040943789	0.002428869	0	0	0	0.62907703
"LH38_Z1_2"	0.113462873	0.652324774	0.015614157	0.001387925	0.000693963	0	0	0.216516308
"LH38_Z1_3"	0.208188758	0.444482998	0.011797363	0.015614157	0	0	0	0.319916724
"LH39_Z1_1"	0.081193616	0.120402498	0.006245663	0.00277585	0	0	0	0.789382373
"LH39_Z1_2"	0.046495489	0.069049271	0.004857738	0.002081888	0	0	0	0.877515614
"LH39_Z1_3"	0.227619709	0.46148508	0.012491325	0.000346981	0	0	0	0.298056905
"78371A_Z1_1"	0.052394171	0.09056211	0.007286607	0.004857738	0	0	0	0.844899375
"78371A_Z1_2"	0.052741152	0.112074948	0.007980569	0.002081888	0.000346981	0	0	0.824774462
"78371A_Z1_3"	0.10721721	0.347675226	0.014226232	0.00277585	0	0	0	0.528105482
"787_Z1_1"	0.376127689	0.295975017	0.138098543	0.000693963	0	0	0	0.189104788
"787_Z1_2"	0.279319917	0.486120749	0.03018737	0.001387925	0	0	0	0.202984039
"787_Z1_3"	0.152324774	0.564885496	0.087439278	0.001387925	0.003469813	0	0	0.190492713
"IB014_Z1_1"	0.155447606	0.154059681	0.012838307	0.001040944	0.001734906	0	0	0.674878557
"IB014_Z1_2"	0.095766829	0.214434421	0.044413602	0.004510756	0.001040944	0	0	0.639833449
"IB014_Z1_3"	0.154753643	0.495142262	0.013879251	0.001387925	0.002428869	0	0	0.33240805
"PHN11_Z1_1"	0.147814018	0.184594032	0.013532269	0.001040944	0.016308119	0	0	0.636710618
"PHN11_Z1_2"	0.045801527	0.113462873	0.007633588	0.005204719	0	0	0	0.827897294
"PHN11_Z1_3"	0.135669674	0.207147814	0.015961138	0.020471895	0	0	0	0.62074948
"PHJ75_Z1_1"	0.086051353	0.135322693	0.010409438	0.004510756	0.000346981	0	0	0.763358779
"PHJ75_Z1_2"	0.118320611	0.216516308	0.009368494	0.003122831	0.005204719	0	0	0.647467037
"PHJ75_Z1_3"	0.122831367	0.493407356	0.006939625	0.004510756	0.006245663	0	0	0.366065232
"PHM10_Z1_1"	0.089521166	0.158917418	0.013879251	0.001040944	0.000346981	0	0	0.73629424
"PHM10_Z1_2"	0.105135323	0.286606523	0.009368494	0.004857738	0.000346981	0	0	0.593684941
"PHM10_Z1_3"	0.257807078	0.481609993	0.012491325	0.013879251	0.000346981	0	0	0.233865371
"LH205_Z1_1"	0.051700208	0.188410826	0.007633588	0.000346981	0.001040944	0	0	0.750867453
"LH205_Z1_2"	0.009715475	0.430603747	0.078070784	0.051006246	0	0	0	0.430603747
"LH205_Z1_3"	0.302914643	0.239764053	0.007633588	0.001734906	0	0	0	0.447952811
"PHW51_Z1_1"	0.092990978	0.681471201	0.014573213	0.003122831	0.008674532	0	0	0.199167245
"PHW51_Z1_2"	0.209923664	0.600277585	0.016655101	0.002428869	0	0	0	0.170714781
"PHW51_Z1_3"	0.044760583	0.574600972	0.020471895	0.015614157	0	0	0	0.344552394
"B73_Z1_1"	0.190145732	0.389312977	0.012838307	0.002428869	0	0	0	0.405274115
"B73_Z1_2"	0.197085357	0.515267176	0.049965302	0.003122831	0.000693963	0	0	0.233865371
"B73_Z1_3"	0.09056211	0.408743928	0.042678695	0.003816794	0.007286607	0.000346981	0	0.446564885
"A632_Z1_1"	0.230395559	0.522206801	0.015614157	0.002428869	0.00277585	0	0	0.226578765
"A632_Z1_2"	0.152671756	0.625607217	0.011450382	0.002428869	0.002428869	0	0	0.205412908
"A632_Z1_3"	0.216863289	0.326162387	0.013185288	0.006592644	0.000346981	0	0	0.43684941
"Mo17_Z1_1"	0.119014573	0.218598196	0.006592644	0.000693963	0.004857738	0	0	0.650242887
"Mo17_Z1_2"	0.125260236	0.738029146	0.015614157	0.001734906	0.000346981	0	0	0.119014573
"Mo17_Z1_3"	0.195697432	0.486120749	0.012144344	0.003469813	0.000346981	0	0	0.30222068
"LH51_Z1_1"	0.335877863	0.356349757	0.009368494	0.002428869	0	0	0	0.295975017
"LH51_Z1_2"	0.237335184	0.234559334	0.013532269	0.007633588	0.00832755	0	0	0.498612075
"LH51_Z1_3"	0.204024983	0.374045802	0.010062457	0.001040944	0	0	0	0.410825815
"LH52_Z1_1"	0.089521166	0.182165163	0.003122831	0.000693963	0	0	0	0.724496877
"LH52_Z1_2"	0.162734212	0.139486468	0.005204719	0.002081888	0.000346981	0	0	0.690145732
"LH52_Z1_3"	0.149548924	0.564538515	0.012491325	0.000693963	0.000346981	0	0	0.272380291
"E8501_Z1_1"	0.070784178	0.127689105	0.009021513	0.002428869	0	0	0	0.790076336
"E8501_Z1_2"	0.20055517	0.25815406	0.008674532	0.004857738	0	0	0	0.527758501
"E8501_Z1_3"	0.176960444	0.467383761	0.021512838	0.005898681	0.000693963	0	0	0.327550312
"LH93_Z1_1"	0.224149896	0.539208883	0.015614157	0.001387925	0.00277585	0	0	0.216863289
"LH93_Z1_2"	0.180430257	0.414989591	0.011450382	0.003469813	0.0055517	0	0	0.384108258
"LH93_Z1_3"	0.218251214	0.397987509	0.012838307	0.002081888	0.002428869	0	0	0.366412214
"PHJ31_Z1_1"	0.120055517	0.362942401	0.013185288	0.001040944	0.001040944	0	0	0.501734906
"PHJ31_Z1_2"	0.128383067	0.60721721	0.034698126	0.001387925	0.0055517	0	0	0.222761971
"PHJ31_Z1_3"	0.152324774	0.08778626	0.003816794	0.001387925	0	0	0	0.754684247
"PHW20_Z1_1"	0.19222762	0.552047189	0.041984733	0.003122831	0	0	0	0.210617627
"PHW20_Z1_2"	0.07980569	0.124219292	0.003122831	0.00277585	0	0	0	0.790076336
"PHW20_Z1_3"	0.310895212	0.536433033	0.00832755	0.002428869	0.002428869	0	0	0.139486468
"W64A_Z1_1"	0.068355309	0.163081194	0.004163775	0.000346981	0	0	0	0.764052741
"W64A_Z1_2"	0.163775156	0.309507287	0.0111034	0.00277585	0.004163775	0	0	0.508674532
"W64A_Z1_3"	0.243927828	0.428174879	0.032616239	0.0055517	0.001387925	0	0	0.28834143
"LH38_Z2_1"	0.147814018	0.190145732	0.019430951	0.001040944	0.004163775	0	0	0.63740458
"LH38_Z2_2"	0.203678001	0.414642609	0.031228314	0.003816794	0.009368494	0	0	0.337265788
"LH38_Z2_3"	0.256766135	0.14573213	0.004163775	0.005204719	0.002081888	0	0	0.586051353
"LH39_Z2_1"	0.10999306	0.235253296	0.029493407	0.0055517	0	0	0	0.619708536
"LH39_Z2_2"	0.07425399	0.16204025	0.00832755	0.002428869	0	0.001040944	0	0.751908397
"LH39_Z2_3"	0.237335184	0.380638446	0.018043026	0.000693963	0.000693963	0	0	0.36259542
"78371A_Z2_1"	0.051700208	0.143303262	0.0111034	0.042331714	0	0	0	0.751561416
"78371A_Z2_2"	0.037473976	0.204371964	0.014226232	0.002081888	0.00277585	0	0	0.73907009
"78371A_Z2_3"	0.105135323	0.185981957	0.006592644	0.001387925	0	0	0	0.700902151
"787_Z2_1"	0.315405968	0.455239417	0.033310201	0.010409438	0.013185288	0	0	0.172449688
"787_Z2_2"	0.134975711	0.440319223	0.040249827	0.003122831	0	0	0	0.381332408
"787_Z2_3"	0.121096461	0.632546842	0.020124913	0.001734906	0.000346981	0	0	0.224149896
"IB014_Z2_1"	0.108258154	0.290423317	0.026717557	0.004857738	0.000346981	0	0	0.569396253
"IB014_Z2_2"	0.052741152	0.256072172	0.009021513	0.001040944	0.000346981	0	0	0.680777238
"IB014_Z2_3"	0.131158917	0.567314365	0.012144344	0.014573213	0	0.000346981	0	0.274462179
"PHN11_Z2_1"	0.103747398	0.142609299	0.005898681	0.000346981	0.018390007	0	0	0.729007634
"PHN11_Z2_2"	0.152324774	0.403539209	0.020124913	0.003469813	0.010409438	0	0	0.410131853
"PHN11_Z2_3"	0.319916724	0.400416378	0.028105482	0.006245663	0.005204719	0	0	0.240111034
"PHJ75_Z2_1"	0.17314365	0.504163775	0.015267176	0.002428869	0	0	0	0.30499653
